In_Sample_Start_Date,In_Sample_End_Date,Out_Sample_Start_Date,Out_Sample_End_Date,Training Objective,Testing Result,THREE_VO_STRAT_OUTSAMPLE,SEVEN_VO_SINGLE_BRACKET,ONE_VO_STRAT_SINGLE,CUSTOM_STRAT_FOURTEEN_VO_SRT,SINGLE_STOCHASTIC_STR,BRACKET_ORDER_STOCHASTIC_STR,CUSTOM_STRAT_THIRTEEN_V1_SRT,BRACKET_ORDER_STR,CUSTOM_STRAT_FIFTEEN_VO_SRT,CUSTOM_STRAT_ELEVEN_VO_SRT,CUSTOM_STRAT_NINE_VO_SRT,CUSTOM_STRAT_THREE_VO_SINGLE,CUSTOM_STRAT_VO_SINGLE,BRACKET_ORDER_SG,GL_FCPO_D_000003_V0_SINGLE_OUTPUTSAMPLE
2000-01-04,2001-12-03,2001-12-04,2001-12-17,0.5034999999999922,-0.022308103930078982,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0
2000-01-18,2001-12-17,2001-12-18,2001-12-31,0.5034999999999953,0.1110674357079986,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0
2000-02-01,2001-12-31,2002-01-01,2002-01-14,0.49174999999998614,0.19843937125017186,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0
2000-02-15,2002-01-14,2002-01-15,2002-01-28,0.4374991041014784,-0.1091462631401505,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0
2000-02-29,2002-01-28,2002-01-29,2002-02-11,0.43749692107455973,-0.26346021597264513,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0
2000-03-14,2002-02-11,2002-02-12,2002-02-25,0.46440893348075496,-0.03419693005897961,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0
2000-03-28,2002-02-25,2002-02-26,2002-03-11,0.408556028549126,-0.10655147287046987,1.0,4.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
2000-04-11,2002-03-11,2002-03-12,2002-03-25,0.42880697922247835,0.2569862615086078,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,1.0
2000-04-25,2002-03-25,2002-03-26,2002-04-08,0.4222606830309834,0.31985276245224464,0.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2000-05-09,2002-04-08,2002-04-09,2002-04-22,0.29666368948971117,0.9912689387601157,1.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
2000-05-23,2002-04-22,2002-04-23,2002-05-06,0.33115176312394956,-0.06925900871630303,0.0,0.0,2.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
2000-06-06,2002-05-06,2002-05-07,2002-05-20,0.3311480087409614,1.052394516069639,2.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2000-06-20,2002-05-20,2002-05-21,2002-06-03,0.39630691986149497,1.0415702734985004,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0
2000-07-04,2002-06-03,2002-06-04,2002-06-17,0.41369328354790924,-0.5746317873516729,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0
2000-07-18,2002-06-17,2002-06-18,2002-07-01,0.41369113785747524,1.0319085352169468,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2000-08-01,2002-07-01,2002-07-02,2002-07-15,0.48703863432454186,-1.216523396275562,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2000-08-15,2002-07-15,2002-07-16,2002-07-29,0.4687447068453341,-0.3723204861310052,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
