,Date,Open(t),High(t),Low(t),Close(t),Total Trade Quantity(t),Open(t-1),High(t-1),Low(t-1),Close(t-1),Total Trade Quantity(t-1),Open(t-2),High(t-2),Low(t-2),Close(t-2),Total Trade Quantity(t-2),Open(t-3),High(t-3),Low(t-3),Close(t-3),Total Trade Quantity(t-3),Open(t-4),High(t-4),Low(t-4),Close(t-4),Total Trade Quantity(t-4),Momentum_1D,RSI_14D,BB_Middle_Band,BB_Upper_Band,BB_Lower_Band,STOK,STOD,26_ema,12_ema,MACD,roll_mean
6,1/12/2000,1121,1139,1110,1130,1046,1145,1149,1125,1125,754,1139,1147,1135,1145,404,1139,1147,1135,1145,404,1139,1147,1135,1145,404,5,27.27272727,1138,1147.747,1128.253,5.128205128,7.582417582,1137.380234,1136.580961,-0.799272206,1138
7,1/13/2000,1130,1134,1116,1122,479,1121,1139,1110,1130,1046,1145,1149,1125,1125,754,1139,1147,1135,1145,404,1139,1147,1135,1145,404,-8,26.31578947,1133.4,1144.368,1122.432,-5.641025641,-10.17094017,1134.902097,1133.53814,-1.363957387,1133.4
8,1/14/2000,1134,1152,1134,1150,651,1130,1134,1116,1122,479,1121,1139,1110,1130,1046,1145,1149,1125,1125,754,1139,1147,1135,1145,404,28,54.09836066,1134.4,1146.822,1121.978,61.9047619,20.46398046,1137.139938,1136.794881,-0.345056141,1134.4
9,1/17/2000,1140,1147,1135,1146,286,1134,1152,1134,1150,651,1130,1134,1116,1122,479,1121,1139,1110,1130,1046,1145,1149,1125,1125,754,-4,60.73619632,1134.6,1147.241,1121.959,52.38095238,36.21489621,1138.36254,1138.539248,0.176707865,1134.6
10,1/18/2000,1150,1152,1130,1131,1161,1140,1147,1135,1146,286,1134,1152,1134,1150,651,1130,1134,1116,1122,479,1121,1139,1110,1130,1046,-15,64.70588235,1135.8,1147.556,1124.044,14.28571429,42.85714286,1137.407616,1137.159747,-0.24786894,1135.8
11,1/19/2000,1139,1145,1129,1140,476,1150,1152,1130,1131,1161,1140,1147,1135,1146,286,1134,1152,1134,1150,651,1130,1134,1116,1122,479,9,67.27272727,1137.8,1149.167,1126.433,31.11111111,32.59259259,1137.726131,1137.664735,-0.061396525,1137.8
12,1/20/2000,1135,1142,1130,1140,463,1139,1145,1129,1140,476,1150,1152,1130,1131,1161,1140,1147,1135,1146,286,1134,1152,1134,1150,651,0,66.07142857,1141.4,1148.597,1134.203,36.52173913,27.30618818,1137.992515,1138.070226,0.077710918,1141.4
13,1/21/2000,1142,1148,1136,1142,361,1135,1142,1130,1140,463,1139,1145,1129,1140,476,1150,1152,1130,1131,1161,1140,1147,1135,1146,286,2,36.66666667,1139.8,1145.295,1134.305,43.47826087,37.03703704,1138.442603,1138.739341,0.296737733,1139.8
14,1/24/2000,1140,1159,1140,1157,1075,1142,1148,1136,1142,361,1135,1142,1130,1140,463,1139,1145,1129,1140,476,1150,1152,1130,1131,1161,15,36.61971831,1142,1151.407,1132.593,80,53.33333333,1140.450059,1141.798314,1.348254987,1142
15,1/25/2000,1165,1167,1153,1164,854,1140,1159,1140,1157,1075,1142,1148,1136,1142,361,1135,1142,1130,1140,463,1139,1145,1129,1140,476,7,0,1148.6,1159.771,1137.429,69.47368421,64.31731503,1142.913576,1145.467317,2.553741377,1148.6
16,1/26/2000,1167,1173,1157,1163,712,1165,1167,1153,1164,854,1140,1159,1140,1157,1075,1142,1148,1136,1142,361,1135,1142,1130,1140,463,-1,88.88888889,1153.2,1164.676,1141.724,46.04651163,65.17339861,1144.952524,1148.33204,3.379516521,1153.2
17,1/27/2000,1168,1169,1145,1145,923,1167,1173,1157,1163,712,1165,1167,1153,1164,854,1140,1159,1140,1157,1075,1142,1148,1136,1142,361,-18,45.71428571,1154.2,1164.383,1144.017,-3.243243243,37.42565087,1144.957214,1147.792756,2.835541579,1154.2
18,1/28/2000,1158,1163,1152,1155,608,1168,1169,1145,1145,923,1167,1173,1157,1163,712,1165,1167,1153,1164,854,1140,1159,1140,1157,1075,10,52.89256198,1156.8,1164.429,1149.171,16.96969697,19.92432178,1145.925484,1148.949974,3.024490493,1156.8
19,1/31/2000,1155,1155,1131,1132,518,1158,1163,1152,1155,608,1168,1169,1145,1145,923,1167,1173,1157,1163,712,1165,1167,1153,1164,854,-23,37.77777778,1151.8,1165.242,1138.358,-37.14285714,-7.805467805,1144.612205,1146.24659,1.634384941,1151.8
20,2/1/2000,1155,1155,1131,1132,518,1155,1155,1131,1132,518,1158,1163,1152,1155,608,1168,1169,1145,1145,923,1167,1173,1157,1163,712,0,41.66666667,1145.4,1159.195,1131.605,-26.66666667,-15.61327561,1143.446367,1143.98713,0.540762726,1145.4
21,2/2/2000,1120,1127,1115,1124,561,1155,1155,1131,1132,518,1155,1155,1131,1132,518,1158,1163,1152,1155,608,1168,1169,1145,1145,923,-8,37.97468354,1137.6,1149.9,1125.3,-20,-27.93650794,1141.681212,1140.832227,-0.848984885,1137.6
22,2/3/2000,1117,1128,1114,1121,204,1120,1127,1115,1124,561,1155,1155,1131,1132,518,1155,1155,1131,1132,518,1158,1163,1152,1155,608,-3,46.875,1132.8,1146.13,1119.47,-15.51020408,-20.72562358,1139.834798,1137.714249,-2.120548933,1132.8
23,2/4/2000,1117,1128,1114,1121,204,1117,1128,1114,1121,204,1120,1127,1115,1124,561,1155,1155,1131,1132,518,1155,1155,1131,1132,518,0,0,1126,1131.612,1120.388,0,-11.83673469,1138.178418,1135.095302,-3.083115303,1126
24,2/7/2000,1117,1128,1114,1121,204,1117,1128,1114,1121,204,1117,1128,1114,1121,204,1120,1127,1115,1124,561,1155,1155,1131,1132,518,0,0,1123.8,1128.564,1119.036,8.292682927,-2.405840385,1136.688368,1132.892979,-3.795389491,1123.8
25,2/8/2000,1110,1114,1106,1110,444,1117,1128,1114,1121,204,1117,1128,1114,1121,204,1117,1128,1114,1121,204,1120,1127,1115,1124,561,-11,0,1119.4,1124.813,1113.987,-11.81818182,-1.175166297,1134.402383,1129.324621,-5.07776161,1119.4
26,2/9/2000,1103,1103,1082,1084,873,1110,1114,1106,1110,444,1117,1128,1114,1121,204,1117,1128,1114,1121,204,1117,1128,1114,1121,204,-26,0,1111.4,1127.441,1095.359,-47.82608696,-17.11719528,1130.134603,1122.274093,-7.860509942,1111.4
27,2/10/2000,1086,1092,1077,1079,579,1103,1103,1082,1084,873,1110,1114,1106,1110,444,1117,1128,1114,1121,204,1117,1128,1114,1121,204,-5,0,1103,1123.211,1082.789,-38.43137255,-32.69188044,1125.850238,1115.55403,-10.29620842,1103
28,2/11/2000,1081,1088,1060,1063,687,1086,1092,1077,1079,579,1103,1103,1082,1084,873,1110,1114,1106,1110,444,1117,1128,1114,1121,204,-16,0,1091.4,1115.05,1067.75,-36.47058824,-40.90934925,1120.634918,1107.404651,-13.23026702,1091.4
29,2/14/2000,1055,1055,1032,1032,944,1081,1088,1060,1063,687,1086,1092,1077,1079,579,1103,1103,1082,1084,873,1110,1114,1106,1110,444,-31,0,1073.6,1102.345,1044.855,-48.04878049,-40.98358042,1113.344906,1095.726155,-17.61875097,1073.6
30,2/15/2000,1034,1034,1013,1019,919,1055,1055,1032,1032,944,1081,1088,1060,1063,687,1086,1092,1077,1079,579,1103,1103,1082,1084,873,-13,0,1055.4,1084.145,1026.655,-37.55555556,-40.69164143,1105.648172,1083.855233,-21.79293827,1055.4
31,2/16/2000,1019,1042,1019,1039,739,1034,1034,1013,1019,919,1055,1055,1032,1032,944,1081,1088,1060,1063,687,1086,1092,1077,1079,579,20,55.17241379,1046.4,1070.645,1022.155,-1.518987342,-29.0411078,1100.251471,1076.921364,-23.33010657,1046.4
32,2/17/2000,1040,1040,1000,1002,921,1019,1042,1019,1039,739,1034,1034,1013,1019,919,1055,1055,1032,1032,944,1081,1088,1060,1063,687,-37,45.19774011,1031,1053.771,1008.229,-25.90909091,-21.66121127,1092.350267,1065.348305,-27.00196164,1031
33,2/18/2000,1002,1030,1002,1027,1600,1040,1040,1000,1002,921,1019,1042,1019,1039,739,1034,1034,1013,1019,919,1055,1055,1032,1032,944,25,45.45454545,1023.8,1038.002,1009.598,25.09090909,-0.779056387,1087.128047,1059.428354,-27.69969313,1023.8
34,2/21/2000,1040,1054,1031,1054,1283,1002,1030,1002,1027,1600,1040,1040,1000,1002,921,1019,1042,1019,1039,739,1034,1034,1013,1019,919,27,48.97959184,1028.2,1047.915,1008.485,75.92592593,25.0359147,1084.496108,1058.590803,-25.90530467,1028.2
35,2/22/2000,1050,1063,1034,1057,1314,1040,1054,1031,1054,1283,1002,1030,1002,1027,1600,1040,1040,1000,1002,921,1019,1042,1019,1039,739,3,33.632287,1035.8,1058.221,1013.379,63.17460317,54.7304794,1082.323287,1058.345465,-23.97782264,1035.8
36,2/23/2000,1060,1060,1038,1050,782,1050,1063,1034,1057,1314,1040,1054,1031,1054,1283,1002,1030,1002,1027,1600,1040,1040,1000,1002,921,-7,45.45454545,1038,1061.335,1014.665,46.03174603,61.71075838,1079.781587,1057.058886,-22.72270151,1038
37,2/24/2000,1041,1084,1041,1082,1286,1060,1060,1038,1050,782,1050,1063,1034,1057,1314,1040,1054,1031,1054,1283,1002,1030,1002,1027,1600,32,75.65217391,1054,1073.609,1034.391,64.3902439,57.86553104,1079.955238,1060.902708,-19.05253,1054
38,2/25/2000,1086,1086,1064,1072,1182,1041,1084,1041,1082,1286,1060,1060,1038,1050,782,1050,1063,1034,1057,1314,1040,1054,1031,1054,1283,-10,70.85714286,1063,1076.491,1049.509,55.27272727,55.2315724,1079.335133,1062.612515,-16.72261784,1063
39,2/28/2000,1060,1060,1035,1035,1575,1086,1086,1064,1072,1182,1041,1084,1041,1082,1286,1060,1060,1038,1050,782,1050,1063,1034,1057,1314,-37,49.29577465,1059.2,1077.631,1040.769,-14.23076923,35.14406731,1075.892586,1058.359106,-17.53347931,1059.2
40,2/29/2000,1035,1057,1030,1040,906,1060,1060,1035,1035,1575,1086,1086,1064,1072,1182,1041,1084,1041,1082,1286,1060,1060,1038,1050,782,5,50.68493151,1055.8,1076.201,1035.399,-2.857142857,12.72827173,1073.115513,1055.531631,-17.58388284,1055.8
41,3/1/2000,1050,1050,1041,1047,399,1035,1057,1030,1040,906,1060,1060,1035,1035,1575,1086,1086,1064,1072,1182,1041,1084,1041,1082,1286,7,38.4279476,1055.2,1075.857,1034.543,8.571428571,-2.838827839,1071.101552,1054.217893,-16.88365835,1055.2
42,3/2/2000,1042,1054,1039,1050,388,1050,1050,1041,1047,399,1035,1057,1030,1040,906,1060,1060,1035,1035,1575,1086,1086,1064,1072,1182,3,17.54385965,1048.8,1063.037,1034.563,14.64285714,6.785714286,1069.479191,1053.568494,-15.91069769,1048.8
43,3/3/2000,1055,1071,1051,1067,635,1042,1054,1039,1050,388,1050,1050,1041,1047,399,1035,1057,1030,1040,906,1060,1060,1035,1035,1575,17,17.77777778,1047.8,1060.035,1035.565,67.80487805,30.33972125,1069.289117,1055.636207,-13.65290909,1047.8
44,3/6/2000,1076,1089,1072,1080,1096,1055,1071,1051,1067,635,1042,1054,1039,1050,388,1050,1050,1041,1047,399,1035,1057,1030,1040,906,13,0,1056.8,1073.131,1040.469,56.61016949,46.35263489,1070.108175,1059.386522,-10.72165305,1056.8
45,3/7/2000,1085,1089,1063,1071,997,1076,1089,1072,1080,1096,1055,1071,1051,1067,635,1042,1054,1039,1050,388,1050,1050,1041,1047,399,-9,52.63157895,1063,1077.089,1048.911,35.6,53.33834918,1070.176209,1061.174033,-9.002176621,1063
46,3/8/2000,1065,1090,1060,1082,749,1085,1089,1063,1071,997,1076,1089,1072,1080,1096,1055,1071,1051,1067,635,1042,1054,1039,1050,388,11,55,1070,1082.787,1057.213,49.01960784,47.07659244,1071.076219,1064.379275,-6.696943671,1070
47,3/9/2000,1085,1102,1085,1098,1133,1065,1090,1060,1082,749,1085,1089,1063,1071,997,1076,1089,1072,1080,1096,1055,1071,1051,1067,635,16,61.29032258,1079.6,1091.612,1067.588,62.35294118,48.99084967,1073.121435,1069.553398,-3.56803753,1079.6
48,3/10/2000,1102,1104,1094,1097,375,1085,1102,1085,1098,1133,1065,1090,1060,1082,749,1085,1089,1063,1071,997,1076,1089,1072,1080,1096,-1,72.72727273,1085.6,1097.232,1073.968,50.45454545,53.94236482,1074.931908,1073.777129,-1.154778707,1085.6
49,3/13/2000,1090,1098,1073,1088,756,1102,1104,1094,1097,375,1085,1102,1085,1098,1133,1065,1090,1060,1082,749,1085,1089,1063,1071,997,-9,68.06722689,1087.2,1098.412,1075.988,29.54545455,47.45098039,1075.921003,1075.965779,0.044775719,1087.2
50,3/14/2000,1100,1104,1087,1093,445,1090,1098,1073,1088,756,1102,1104,1094,1097,375,1085,1102,1085,1098,1133,1065,1090,1060,1082,749,5,68.08510638,1091.6,1098.256,1084.944,30,36.66666667,1077.211593,1078.586951,1.375358469,1091.6
51,3/15/2000,1110,1122,1107,1110,784,1100,1104,1087,1093,445,1090,1098,1073,1088,756,1102,1104,1094,1097,375,1085,1102,1085,1098,1133,17,71.69811321,1097.2,1105.367,1089.033,42.44897959,33.99814471,1079.685587,1083.420544,3.734956772,1097.2
52,3/16/2000,1110,1122,1107,1110,784,1110,1122,1107,1110,784,1100,1104,1087,1093,445,1090,1098,1073,1088,756,1102,1104,1094,1097,375,0,68.75,1099.6,1109.615,1089.585,33.46938776,35.30612245,1081.96976,1087.510275,5.540515214,1099.6
53,3/17/2000,1115,1145,1113,1145,866,1110,1122,1107,1110,784,1110,1122,1107,1110,784,1100,1104,1087,1093,445,1090,1098,1073,1088,756,35,67.85714286,1109.2,1131.532,1086.868,66.11111111,47.34315949,1086.713001,1096.355917,9.642915794,1109.2
54,3/20/2000,1160,1174,1144,1150,1442,1115,1145,1113,1145,866,1110,1122,1107,1110,784,1110,1122,1107,1110,784,1100,1104,1087,1093,445,5,0,1121.6,1146.304,1096.896,44.13793103,47.9061433,1091.469955,1104.609697,13.1397423,1121.6
55,3/21/2000,1155,1155,1133,1143,859,1160,1174,1144,1150,1442,1115,1145,1113,1145,866,1110,1122,1107,1110,784,1110,1122,1107,1110,784,-7,73.07692308,1131.6,1151.482,1111.718,33.13432836,47.79445683,1095.338979,1110.516409,15.17742929,1131.6
56,3/22/2000,1142,1167,1142,1157,1017,1155,1155,1133,1143,859,1160,1174,1144,1150,1442,1115,1145,1113,1145,866,1110,1122,1107,1110,784,14,72,1141,1159.152,1122.848,43.58208955,40.28478298,1099.964001,1117.668254,17.70425301,1141
57,3/23/2000,1166,1170,1138,1154,1264,1142,1167,1142,1157,1017,1155,1155,1133,1143,859,1160,1174,1144,1150,1442,1115,1145,1113,1145,866,-3,78.26086957,1149.8,1155.691,1143.909,32.78688525,36.50110105,1104.013312,1123.2581,19.2447873,1149.8
58,3/24/2000,1140,1153,1140,1153,473,1166,1170,1138,1154,1264,1142,1167,1142,1157,1017,1155,1155,1133,1143,859,1160,1174,1144,1150,1442,-1,72.15189873,1151.4,1156.72,1146.08,33.17073171,36.5132355,1107.681076,1127.834017,20.15294054,1151.4
59,3/27/2000,1165,1177,1163,1177,816,1140,1153,1140,1153,473,1166,1170,1138,1154,1264,1142,1167,1142,1157,1017,1155,1155,1133,1143,859,24,83.82352941,1156.8,1169.258,1144.342,76.81818182,47.59193292,1112.867027,1135.39835,22.53132272,1156.8
60,3/28/2000,1185,1194,1177,1190,1411,1165,1177,1163,1177,816,1140,1153,1140,1153,473,1166,1170,1138,1154,1264,1142,1167,1142,1157,1017,13,89.47368421,1166.2,1182.714,1149.686,67.85714286,59.28201879,1118.633309,1143.798919,25.16560969,1166.2
61,3/29/2000,1193,1193,1175,1180,760,1185,1194,1177,1190,1411,1165,1177,1163,1177,816,1140,1153,1140,1153,473,1166,1170,1138,1154,1264,-10,79.85611511,1170.8,1187.314,1154.286,38.21428571,60.96320346,1123.217807,1149.368493,26.15068615,1170.8
62,3/30/2000,1189,1200,1182,1200,891,1193,1193,1175,1180,760,1185,1194,1177,1190,1411,1165,1177,1163,1177,816,1140,1153,1140,1153,473,20,77.55102041,1180,1197.593,1162.407,54.33333333,53.46825397,1128.950318,1157.158165,28.20784667,1180
63,3/31/2000,1202,1202,1192,1197,883,1189,1200,1182,1200,891,1193,1193,1175,1180,760,1185,1194,1177,1190,1411,1165,1177,1163,1177,816,-3,74.50980392,1188.8,1198.934,1178.666,49.23076923,47.25946276,1134.027894,1163.287817,29.25992363,1188.8
64,4/3/2000,1207,1228,1207,1226,638,1202,1202,1192,1197,883,1189,1200,1182,1200,891,1193,1193,1175,1180,760,1185,1194,1177,1190,1411,29,76.07361963,1198.6,1215.741,1181.459,74.33962264,59.30124174,1140.886743,1172.936031,32.04928809,1198.6
65,4/4/2000,1240,1240,1208,1211,747,1207,1228,1207,1226,638,1202,1202,1192,1197,883,1189,1200,1182,1200,891,1193,1193,1175,1180,760,-15,72.4137931,1202.8,1219.879,1185.721,28,50.52346396,1146.112842,1178.792122,32.67927963,1202.8
66,4/5/2000,1209,1209,1195,1205,824,1240,1240,1208,1211,747,1207,1228,1207,1226,638,1202,1202,1192,1197,883,1189,1200,1182,1200,891,-6,75.38461538,1207.8,1219.276,1196.324,14.13793103,38.82585123,1150.500135,1182.824158,32.32402313,1207.8
67,4/6/2000,1209,1209,1195,1205,824,1209,1209,1195,1205,824,1240,1240,1208,1211,747,1207,1228,1207,1226,638,1202,1202,1192,1197,883,0,78.37837838,1208.8,1219.626,1197.974,11.66666667,17.9348659,1154.558818,1186.235866,31.67704825,1208.8
68,4/7/2000,1189,1208,1185,1195,794,1209,1209,1195,1205,824,1209,1209,1195,1205,824,1240,1240,1208,1211,747,1207,1228,1207,1226,638,-10,73.72881356,1208.4,1219.793,1197.007,-5.454545455,6.783350749,1157.569334,1187.584208,30.01487361,1208.4
69,4/10/2000,1196,1196,1177,1177,627,1189,1208,1185,1195,794,1209,1209,1195,1205,824,1209,1209,1195,1205,824,1240,1240,1208,1211,747,-18,0,1198.6,1211.972,1185.228,-23.80952381,-5.865800866,1159.015257,1185.955854,26.94059751,1198.6
70,4/11/2000,1175,1189,1170,1185,617,1196,1196,1177,1177,627,1189,1208,1185,1195,794,1209,1209,1195,1205,824,1209,1209,1195,1205,824,8,41.37931034,1193.4,1205.761,1181.039,1.538461538,-9.241869242,1160.94824,1185.808799,24.86055885,1193.4
71,4/12/2000,1183,1201,1172,1198,1030,1175,1189,1170,1185,617,1196,1196,1177,1177,627,1189,1208,1185,1195,794,1209,1209,1195,1205,824,13,42.85714286,1192,1203.045,1180.955,46.66666667,8.131868132,1163.703621,1187.684379,23.98075849,1192
72,4/13/2000,1218,1228,1206,1227,954,1183,1201,1172,1198,1030,1175,1189,1170,1185,617,1196,1196,1177,1177,627,1189,1208,1185,1195,794,29,54.34782609,1196.4,1215.421,1177.379,77.5862069,41.93044503,1168.40933,1193.732967,25.32363742,1196.4
73,4/14/2000,1255,1255,1232,1236,903,1218,1228,1206,1227,954,1183,1201,1172,1198,1030,1175,1189,1170,1185,617,1196,1196,1177,1177,627,9,45.03816794,1204.6,1230.471,1178.729,52.47058824,58.9078206,1173.432937,1200.235615,26.80267827,1204.6
74,4/17/2000,1230,1245,1225,1235,907,1255,1255,1232,1236,903,1218,1228,1206,1227,954,1183,1201,1172,1198,1030,1175,1189,1170,1185,617,-1,93.65079365,1216.2,1239.474,1192.926,40,56.68559838,1178.007703,1205.584002,27.57629879,1216.2
75,4/18/2000,1232,1234,1217,1228,827,1230,1245,1225,1235,907,1255,1255,1232,1236,903,1218,1228,1206,1227,954,1183,1201,1172,1198,1030,-7,80.95238095,1224.8,1240.315,1209.285,21.20481928,37.8918025,1181.721542,1209.032627,27.3110856,1224.8
76,4/19/2000,1240,1250,1227,1250,894,1232,1234,1217,1228,827,1230,1245,1225,1235,907,1255,1255,1232,1236,903,1218,1228,1206,1227,954,22,83.33333333,1235.2,1244.403,1225.997,58.36734694,39.85738874,1186.792741,1215.335316,28.54257536,1235.2
77,4/20/2000,1254,1255,1226,1228,803,1240,1250,1227,1250,894,1232,1234,1217,1228,827,1230,1245,1225,1235,907,1255,1255,1232,1236,903,-22,60.78431373,1235.4,1244.389,1226.411,6.842105263,28.80475716,1189.852693,1217.283733,27.43104051,1235.4
78,4/21/2000,1231,1239,1224,1234,504,1254,1255,1226,1228,803,1240,1250,1227,1250,894,1232,1234,1217,1228,827,1230,1245,1225,1235,907,6,58.33333333,1235,1244,1226,26.84210526,30.68385249,1193.130364,1219.855472,26.72510723,1235
79,4/24/2000,1237,1238,1203,1203,534,1231,1239,1224,1234,504,1254,1255,1226,1228,803,1240,1250,1227,1250,894,1232,1234,1217,1228,827,-31,41.17647059,1228.6,1245.506,1211.694,-31.53846154,0.715249663,1193.863001,1217.262318,23.39931722,1228.6
80,4/25/2000,1205,1218,1198,1203,1140,1237,1238,1203,1203,534,1231,1239,1224,1234,504,1254,1255,1226,1228,803,1240,1250,1227,1250,894,0,34.56790123,1223.6,1244.052,1203.148,-22.10526316,-8.933873144,1194.541146,1215.068112,20.52696632,1223.6
81,4/26/2000,1195,1196,1181,1183,1240,1205,1218,1198,1203,1140,1237,1238,1203,1203,534,1231,1239,1224,1234,504,1254,1255,1226,1228,803,-20,19.78021978,1210.2,1230.977,1189.423,-31.62162162,-28.42178211,1193.68469,1210.134551,16.44986055,1210.2
82,4/27/2000,1174,1175,1154,1154,1013,1195,1196,1181,1183,1240,1205,1218,1198,1203,1140,1237,1238,1203,1203,534,1231,1239,1224,1234,504,-29,18.36734694,1195.4,1224.867,1165.933,-44.70588235,-32.81092238,1190.740131,1201.498458,10.75832704,1195.4
83,4/28/2000,1148,1158,1139,1150,1708,1174,1175,1154,1154,1013,1195,1196,1181,1183,1240,1205,1218,1198,1203,1140,1237,1238,1203,1203,534,-4,0,1178.6,1204.257,1152.943,-25.25252525,-33.86000974,1187.717636,1193.575612,5.857975723,1178.6
84,5/1/2000,1148,1158,1139,1150,1708,1148,1158,1139,1150,1708,1174,1175,1154,1154,1013,1195,1196,1181,1183,1240,1205,1218,1198,1203,1140,0,0,1168,1191.948,1144.052,-15.44303797,-28.46714853,1184.919703,1186.871667,1.9519646,1168
85,5/2/2000,1166,1169,1137,1146,1106,1148,1158,1139,1150,1708,1148,1158,1139,1150,1708,1174,1175,1154,1154,1013,1195,1196,1181,1183,1240,-4,0,1156.6,1171.627,1141.573,-6.779661017,-15.82507475,1182.032907,1180.583715,-1.449192339,1156.6
86,5/3/2000,1140,1153,1132,1134,889,1166,1169,1137,1146,1106,1148,1158,1139,1150,1708,1148,1158,1139,1150,1708,1174,1175,1154,1154,1013,-12,0,1146.8,1154.494,1139.106,-14.41860465,-12.21376788,1178.47051,1173.416986,-5.053523771,1146.8
87,5/4/2000,1139,1140,1111,1113,1054,1140,1153,1132,1134,889,1166,1169,1137,1146,1106,1148,1158,1139,1150,1708,1148,1158,1139,1150,1708,-21,0,1138.6,1154.342,1122.858,-32.06896552,-17.75574373,1173.615284,1164.122061,-9.493223123,1138.6
88,5/5/2000,1115,1119,1098,1113,967,1139,1140,1111,1113,1054,1140,1153,1132,1134,889,1166,1169,1137,1146,1106,1148,1158,1139,1150,1708,0,0,1131.2,1148.827,1113.573,-14.64788732,-20.37848583,1169.120499,1156.257126,-12.86337304,1131.2
89,5/8/2000,1110,1118,1101,1116,842,1115,1119,1098,1113,967,1139,1140,1111,1113,1054,1140,1153,1132,1134,889,1166,1169,1137,1146,1106,3,19.56521739,1124.4,1139.31,1109.49,0.281690141,-15.47838757,1165.181782,1150.06372,-15.11806148,1124.4
90,5/9/2000,1111,1131,1108,1128,712,1110,1118,1101,1116,842,1115,1119,1098,1113,967,1139,1140,1111,1113,1054,1140,1153,1132,1134,889,12,31.25,1120.8,1130.428,1111.172,32.72727273,6.120358515,1162.42507,1146.669301,-15.75576964,1120.8
91,5/10/2000,1125,1125,1088,1091,1694,1111,1131,1108,1128,712,1110,1118,1101,1116,842,1115,1119,1098,1113,967,1139,1140,1111,1113,1054,-37,20.54794521,1112.2,1125.568,1098.832,-19.61538462,4.464526084,1157.129869,1138.104791,-19.0250778,1112.2
92,5/11/2000,1091,1108,1078,1097,1237,1125,1125,1088,1091,1694,1111,1131,1108,1128,712,1110,1118,1101,1116,842,1115,1119,1098,1113,967,6,15.90909091,1109,1123.95,1094.05,4.528301887,5.880063333,1152.672332,1131.780976,-20.89135574,1109
93,5/12/2000,1095,1096,1080,1085,825,1091,1108,1078,1097,1237,1125,1125,1088,1091,1694,1111,1131,1108,1128,712,1110,1118,1101,1116,842,-12,22.22222222,1103.4,1121.408,1085.392,-11.32075472,-8.802612482,1147.655948,1124.583902,-23.072046,1103.4
94,5/15/2000,1060,1073,1052,1052,813,1095,1096,1080,1085,825,1091,1108,1078,1097,1237,1125,1125,1088,1091,1694,1111,1131,1108,1128,712,-33,24.7706422,1090.6,1117.808,1063.392,-36.96202532,-14.58482605,1140.565586,1113.417146,-27.14843978,1090.6
95,5/16/2000,1040,1087,1040,1085,905,1060,1073,1052,1052,813,1095,1096,1080,1085,825,1091,1108,1078,1097,1237,1125,1125,1088,1091,1694,33,41.63701068,1082,1099.493,1064.507,20.47058824,-9.270730599,1136.447069,1109.045277,-27.40179238,1082
