,period_direc,period_he,return,pnl,drawdown (%),drawdown (abs)
0,6,6,2581.49875,516299.75,36.607002091588456,34828.99999999994
1,6,7,2581.49875,516299.75,36.607002091588456,34828.99999999994
2,6,8,2581.49875,516299.75,36.607002091588456,34828.99999999994
3,6,9,2581.49875,516299.75,36.607002091588456,34828.99999999994
4,6,10,2581.49875,516299.75,36.607002091588456,34828.99999999994
5,6,11,2581.49875,516299.75,36.607002091588456,34828.99999999994
6,6,12,2581.49875,516299.75,36.607002091588456,34828.99999999994
7,6,13,2581.49875,516299.75,36.607002091588456,34828.99999999994
8,6,14,2581.49875,516299.75,36.607002091588456,34828.99999999994
9,6,15,2581.49875,516299.75,36.607002091588456,34828.99999999994
10,6,16,2581.49875,516299.75,36.607002091588456,34828.99999999994
11,6,17,2581.49875,516299.75,36.607002091588456,34828.99999999994
12,6,18,2581.49875,516299.75,36.607002091588456,34828.99999999994
13,6,19,2581.49875,516299.75,36.607002091588456,34828.99999999994
14,6,20,2581.49875,516299.75,36.607002091588456,34828.99999999994
15,6,21,2577.12375,515424.75,36.94679000297022,34829.0
16,6,22,2574.9737499999997,514994.75,37.1121387775978,34829.000000000015
17,6,23,2574.9737499999997,514994.75,37.1121387775978,34829.000000000015
18,6,24,2574.9737499999997,514994.75,37.1121387775978,34829.000000000015
19,6,25,2574.9737499999997,514994.75,37.1121387775978,34829.000000000015
20,6,26,2574.9737499999997,514994.75,37.1121387775978,34829.000000000015
21,6,27,2574.9737499999997,514994.75,37.1121387775978,34829.000000000015
22,6,28,2574.34875,514869.75,37.16163588446808,34828.99999999992
23,6,29,2571.09875,514219.75,37.42116403253365,34828.999999999956
24,6,30,2568.47375,513694.75,37.94181635308135,8676.249999999995
25,6,31,2566.59875,513319.75,38.574397848147676,8676.249999999996
26,6,32,2564.47375,512894.75,39.31731411933977,8676.250000000005
27,6,33,2564.47375,512894.75,39.31731411933977,8676.250000000005
28,6,34,2569.22375,513844.75,37.678185627897385,8676.25
29,6,35,2569.22375,513844.75,37.678185627897385,8676.25
30,6,36,2569.22375,513844.75,37.678185627897385,8676.25
31,6,37,2569.22375,513844.75,37.678185627897385,8676.25
32,6,38,2569.22375,513844.75,37.15866233509894,34828.99999999981
33,6,39,2573.78125,514756.25,36.796898110974844,34828.99999999987
34,7,6,2704.5475,540909.5,27.348083307250587,26649.74999999981
35,7,7,2704.5475,540909.5,27.348083307250587,26649.74999999981
36,7,8,2704.5475,540909.5,27.348083307250587,26649.74999999981
37,7,9,2704.5475,540909.5,27.348083307250587,26649.74999999981
