,period_sma5,period_sma25,period_fast,period_slow,period_aosma9,period_aosma12,return,pnl,drawdown (%),drawdown (abs)
0,6,8,6,8,6,6,-63.43374999999995,-12686.75,96.52532897566007,25251.749999999953
1,6,8,6,8,6,9,1694.01625,338803.25,89.90108838231632,31697.999999999913
2,6,8,6,8,6,12,1766.6487499999998,353329.75,69.34926472989999,26538.749999999964
3,6,8,6,8,9,6,12.226250000000155,2445.25,97.22446515488798,32209.249999999927
4,6,8,6,8,9,9,172.15250000000015,34430.5,77.67334579116466,31486.249999999935
5,6,8,6,8,9,12,239.58125000000018,47916.25,62.69372445083332,27912.499999999993
6,6,8,6,8,12,6,3.4862500000001635,697.25,98.6192498972295,30587.49999999997
7,6,8,6,8,12,9,133.5112500000002,26702.25,99.2981038024989,36853.249999999876
8,6,8,6,8,12,12,205.16500000000022,41033.0,70.55535510069296,28842.500000000073
9,6,8,6,11,6,6,-22.89124999999993,-4578.25,96.53462933693532,34660.999999999985
10,6,8,6,11,6,9,-10.099999999999874,-2020.0,97.33444083666834,45114.99999999997
11,6,8,6,11,6,12,-15.662499999999891,-3132.5,96.55746655746643,35368.99999999997
12,6,8,6,11,9,6,134.55250000000018,26910.5,79.22284466388143,29203.125000000004
13,6,8,6,11,9,9,157.4512500000002,31490.25,64.64019786104657,30840.00000000009
14,6,8,6,11,9,12,179.10750000000021,35821.5,68.69652573169988,25472.500000000015
15,6,8,6,11,12,6,165.8762500000002,33175.25,67.8905628449113,26880.24999999989
16,6,8,6,11,12,9,201.9737500000002,40394.75,53.78620482030364,23672.250000000062
17,6,8,6,11,12,12,221.31500000000023,44263.0,65.4502479318171,26167.5
18,6,8,6,14,6,6,202.4425000000003,40488.5,55.29436112193218,22710.499999999978
19,6,8,6,14,6,9,169.22125000000023,33844.25,64.87023091920501,27200.25
20,6,8,6,14,6,12,91.27875000000022,18255.75,90.23188147620309,30391.000000000087
21,6,8,6,14,9,6,233.2550000000003,46651.0,42.4416309925008,17473.750000000007
22,6,8,6,14,9,9,219.38500000000022,43877.0,49.388059791344304,20509.749999999985
23,6,8,6,14,9,12,146.8412500000003,29368.25,63.902069236600454,22760.000000000022
24,6,8,6,14,12,6,310.96125000000023,62192.25,38.527343373687415,14997.249999999993
25,6,8,6,14,12,9,273.55750000000023,54711.5,46.51150940752343,18255.999999999996
26,6,8,6,14,12,12,254.01375000000024,50802.75,58.98833046631643,15859.750000000013
27,6,8,6,17,6,6,152.94375000000025,30588.75,78.88937136959491,31339.000000000022
28,6,8,6,17,6,9,152.62875000000028,30525.75,75.3315649867374,24140.000000000007
29,6,8,6,17,6,12,128.90750000000028,25781.5,71.74472267655705,23357.749999999953
30,6,8,6,17,9,6,322.4450000000002,64489.0,57.481787566894816,22744.250000000025
31,6,8,6,17,9,9,316.2675000000002,63253.5,52.04785257839202,17511.499999999978
32,6,8,6,17,9,12,311.8662500000002,62373.25,50.31909459158047,17484.25
33,6,8,6,17,12,6,295.92250000000024,59184.5,60.95689621625823,23496.749999999964
34,6,8,6,17,12,9,308.1075000000002,61621.5,49.98025556010873,16770.249999999978
35,6,8,6,17,12,12,306.58125000000024,61316.25,49.63700600766238,16648.499999999978
36,6,8,6,20,6,6,240.07375000000022,48014.75,88.57774562480185,27242.750000000022
37,6,8,6,20,6,9,269.85625000000033,53971.25,76.14608657215923,24117.75000000001
38,6,8,6,20,6,12,227.41250000000025,45482.5,61.273686735428214,19158.750000000007
39,6,8,6,20,9,6,270.2500000000002,54050.0,78.1065042432593,24941.75000000002
40,6,8,6,20,9,9,316.4075000000002,63281.5,59.236446087634675,20508.250000000022
41,6,8,6,20,9,12,255.8387500000002,51167.75,47.76311341691035,16249.250000000007
42,6,8,6,20,12,6,364.00125000000014,72800.25,67.23128444951632,22534.749999999978
43,6,8,6,20,12,9,362.96375000000023,72592.75,55.6155143338954,18551.250000000007
44,6,8,6,20,12,12,321.90500000000014,64381.0,45.184805385884346,15201.750000000015
45,6,8,9,11,6,6,23.368750000000247,4673.75,87.07845256105463,25182.0
46,6,8,9,11,6,9,26.26125000000022,5252.25,71.718161980962,22677.999999999956
47,6,8,9,11,6,12,-65.82874999999986,-13165.75,99.19739072042968,38777.50000000002
48,6,8,9,11,9,6,55.31125000000022,11062.25,68.9373546345369,22600.249999999985
49,6,8,9,11,9,9,60.828750000000156,12165.75,63.057413809445414,31600.75000000001
50,6,8,9,11,9,12,-4.768749999999836,-953.75,85.40099868652217,38523.749999999985
51,6,8,9,11,12,6,13.071250000000159,2614.25,75.29908764954378,31816.49999999998
52,6,8,9,11,12,9,54.59500000000013,10919.0,63.894311317419486,31176.749999999916
