,period_sma5,period_sma25,period_he,period_direc,return,pnl,drawdown (%),drawdown (abs)
0,5,8,6,6,2386.7900000000004,477358.0,29.487781194368,9110.249999999993
1,5,8,6,8,2406.0812500000006,481216.25,26.186702484889203,24369.99999999997
2,5,8,6,10,2466.98,493396.0,26.019091847265223,7563.750000000004
3,5,8,6,12,2461.0337500000005,492206.75,28.818539024825853,8067.749999999996
4,5,8,6,14,2500.98875,500197.75,28.818539024825853,8067.749999999996
5,5,8,6,16,2458.5437500000003,491708.75,32.73584905660374,8067.749999999989
6,5,8,6,18,2441.0212500000002,488204.25,28.621424223980508,7053.749999999996
7,5,8,6,20,2405.2112500000003,481042.25,28.567379990139983,24192.499999999913
8,5,8,8,6,2386.7900000000004,477358.0,29.487781194368,9110.249999999993
9,5,8,8,8,2406.0812500000006,481216.25,26.186702484889203,24369.99999999997
10,5,8,8,10,2466.98,493396.0,26.019091847265223,7563.750000000004
11,5,8,8,12,2461.0337500000005,492206.75,28.818539024825853,8067.749999999996
12,5,8,8,14,2500.98875,500197.75,28.818539024825853,8067.749999999996
13,5,8,8,16,2458.5437500000003,491708.75,32.73584905660374,8067.749999999989
14,5,8,8,18,2441.0212500000002,488204.25,28.621424223980508,7053.749999999996
15,5,8,8,20,2405.2112500000003,481042.25,28.567379990139983,24192.499999999913
16,5,8,10,6,2386.7900000000004,477358.0,29.487781194368,9110.249999999993
17,5,8,10,8,2406.0812500000006,481216.25,26.186702484889203,24369.99999999997
18,5,8,10,10,2466.98,493396.0,26.019091847265223,7563.750000000004
19,5,8,10,12,2461.0337500000005,492206.75,28.818539024825853,8067.749999999996
20,5,8,10,14,2500.98875,500197.75,28.818539024825853,8067.749999999996
21,5,8,10,16,2458.5437500000003,491708.75,32.73584905660374,8067.749999999989
22,5,8,10,18,2441.0212500000002,488204.25,28.621424223980508,7053.749999999996
23,5,8,10,20,2405.2112500000003,481042.25,28.567379990139983,24192.499999999913
24,5,8,12,6,2386.7900000000004,477358.0,29.487781194368,9110.249999999993
25,5,8,12,8,2406.0812500000006,481216.25,26.186702484889203,24369.99999999997
26,5,8,12,10,2466.98,493396.0,26.019091847265223,7563.750000000004
27,5,8,12,12,2461.0337500000005,492206.75,28.818539024825853,8067.749999999996
28,5,8,12,14,2500.98875,500197.75,28.818539024825853,8067.749999999996
29,5,8,12,16,2458.5437500000003,491708.75,32.73584905660374,8067.749999999989
30,5,8,12,18,2441.0212500000002,488204.25,28.621424223980508,7053.749999999996
31,5,8,12,20,2405.2112500000003,481042.25,28.567379990139983,24192.499999999913
32,5,8,14,6,2386.7900000000004,477358.0,29.487781194368,9110.249999999993
33,5,8,14,8,2406.0812500000006,481216.25,26.186702484889203,24369.99999999997
34,5,8,14,10,2466.98,493396.0,26.019091847265223,7563.750000000004
35,5,8,14,12,2461.0337500000005,492206.75,28.818539024825853,8067.749999999996
36,5,8,14,14,2500.98875,500197.75,28.818539024825853,8067.749999999996
37,5,8,14,16,2458.5437500000003,491708.75,32.73584905660374,8067.749999999989
38,5,8,14,18,2441.0212500000002,488204.25,28.621424223980508,7053.749999999996
39,5,8,14,20,2405.2112500000003,481042.25,28.567379990139983,24192.499999999913
40,5,8,16,6,2386.7900000000004,477358.0,29.487781194368,9110.249999999993
41,5,8,16,8,2406.0812500000006,481216.25,26.186702484889203,24369.99999999997
42,5,8,16,10,2466.98,493396.0,26.019091847265223,7563.750000000004
43,5,8,16,12,2461.0337500000005,492206.75,28.818539024825853,8067.749999999996
44,5,8,16,14,2500.98875,500197.75,28.818539024825853,8067.749999999996
45,5,8,16,16,2458.5437500000003,491708.75,32.73584905660374,8067.749999999989
46,5,8,16,18,2441.0212500000002,488204.25,28.621424223980508,7053.749999999996
47,5,8,16,20,2405.2112500000003,481042.25,28.567379990139983,24192.499999999913
48,5,8,18,6,2386.7900000000004,477358.0,29.487781194368,9110.249999999993
49,5,8,18,8,2406.0812500000006,481216.25,26.186702484889203,24369.99999999997
50,5,8,18,10,2466.98,493396.0,26.019091847265223,7563.750000000004
51,5,8,18,12,2461.0337500000005,492206.75,28.818539024825853,8067.749999999996
52,5,8,18,14,2500.98875,500197.75,28.818539024825853,8067.749999999996
53,5,8,18,16,2458.5437500000003,491708.75,32.73584905660374,8067.749999999989
54,5,8,18,18,2441.0212500000002,488204.25,28.621424223980508,7053.749999999996
55,5,8,18,20,2405.2112500000003,481042.25,28.567379990139983,24192.499999999913
56,5,8,20,6,2386.7900000000004,477358.0,29.487781194368,9110.249999999993
57,5,8,20,8,2406.0812500000006,481216.25,26.186702484889203,24369.99999999997
58,5,8,20,10,2466.98,493396.0,26.019091847265223,7563.750000000004
59,5,8,20,12,2461.0337500000005,492206.75,28.818539024825853,8067.749999999996
60,5,8,20,14,2500.98875,500197.75,28.818539024825853,8067.749999999996
61,5,8,20,16,2458.5437500000003,491708.75,32.73584905660374,8067.749999999989
62,5,8,20,18,2441.0212500000002,488204.25,28.621424223980508,7053.749999999996
63,5,8,20,20,2405.2112500000003,481042.25,28.567379990139983,24192.499999999913
64,5,10,6,6,2421.5825,484316.5,28.006959054863273,8652.750000000007
65,5,10,6,8,2450.0825,490016.5,26.753319464494485,24370.0
66,5,10,6,10,2498.3799999999997,499676.0,27.059683522531806,7866.25
67,5,10,6,12,2514.41625,502883.25,29.89908912305769,8370.25
68,5,10,6,14,2518.3650000000002,503673.0,29.89908912305769,8370.25
69,5,10,6,16,2477.23875,495447.75,33.9632785554879,8370.249999999993
70,5,10,6,18,2454.96625,490993.25,31.066139176303466,7656.249999999989
71,5,10,6,20,2423.65625,484731.25,30.77836275420665,7453.749999999996
72,5,10,8,6,2421.5825,484316.5,28.006959054863273,8652.750000000007
73,5,10,8,8,2450.0825,490016.5,26.753319464494485,24370.0
74,5,10,8,10,2498.3799999999997,499676.0,27.059683522531806,7866.25
75,5,10,8,12,2514.41625,502883.25,29.89908912305769,8370.25
76,5,10,8,14,2518.3650000000002,503673.0,29.89908912305769,8370.25
77,5,10,8,16,2477.23875,495447.75,33.9632785554879,8370.249999999993
78,5,10,8,18,2454.96625,490993.25,31.066139176303466,7656.249999999989
79,5,10,8,20,2423.65625,484731.25,30.77836275420665,7453.749999999996
80,5,10,10,6,2421.5825,484316.5,28.006959054863273,8652.750000000007
81,5,10,10,8,2450.0825,490016.5,26.753319464494485,24370.0
82,5,10,10,10,2498.3799999999997,499676.0,27.059683522531806,7866.25
83,5,10,10,12,2514.41625,502883.25,29.89908912305769,8370.25
84,5,10,10,14,2518.3650000000002,503673.0,29.89908912305769,8370.25
85,5,10,10,16,2477.23875,495447.75,33.9632785554879,8370.249999999993
86,5,10,10,18,2454.96625,490993.25,31.066139176303466,7656.249999999989
87,5,10,10,20,2423.65625,484731.25,30.77836275420665,7453.749999999996
88,5,10,12,6,2421.5825,484316.5,28.006959054863273,8652.750000000007
89,5,10,12,8,2450.0825,490016.5,26.753319464494485,24370.0
90,5,10,12,10,2498.3799999999997,499676.0,27.059683522531806,7866.25
91,5,10,12,12,2514.41625,502883.25,29.89908912305769,8370.25
92,5,10,12,14,2518.3650000000002,503673.0,29.89908912305769,8370.25
93,5,10,12,16,2477.23875,495447.75,33.9632785554879,8370.249999999993
94,5,10,12,18,2454.96625,490993.25,31.066139176303466,7656.249999999989
95,5,10,12,20,2423.65625,484731.25,30.77836275420665,7453.749999999996
96,5,10,14,6,2421.5825,484316.5,28.006959054863273,8652.750000000007
97,5,10,14,8,2450.0825,490016.5,26.753319464494485,24370.0
98,5,10,14,10,2498.3799999999997,499676.0,27.059683522531806,7866.25
99,5,10,14,12,2514.41625,502883.25,29.89908912305769,8370.25
100,5,10,14,14,2518.3650000000002,503673.0,29.89908912305769,8370.25
101,5,10,14,16,2477.23875,495447.75,33.9632785554879,8370.249999999993
102,5,10,14,18,2454.96625,490993.25,31.066139176303466,7656.249999999989
103,5,10,14,20,2423.65625,484731.25,30.77836275420665,7453.749999999996
104,5,10,16,6,2421.5825,484316.5,28.006959054863273,8652.750000000007
105,5,10,16,8,2450.0825,490016.5,26.753319464494485,24370.0
106,5,10,16,10,2498.3799999999997,499676.0,27.059683522531806,7866.25
107,5,10,16,12,2514.41625,502883.25,29.89908912305769,8370.25
108,5,10,16,14,2518.3650000000002,503673.0,29.89908912305769,8370.25
109,5,10,16,16,2477.23875,495447.75,33.9632785554879,8370.249999999993
110,5,10,16,18,2454.96625,490993.25,31.066139176303466,7656.249999999989
111,5,10,16,20,2423.65625,484731.25,30.77836275420665,7453.749999999996
112,5,10,18,6,2421.5825,484316.5,28.006959054863273,8652.750000000007
113,5,10,18,8,2450.0825,490016.5,26.753319464494485,24370.0
114,5,10,18,10,2498.3799999999997,499676.0,27.059683522531806,7866.25
115,5,10,18,12,2514.41625,502883.25,29.89908912305769,8370.25
116,5,10,18,14,2518.3650000000002,503673.0,29.89908912305769,8370.25
117,5,10,18,16,2477.23875,495447.75,33.9632785554879,8370.249999999993
118,5,10,18,18,2454.96625,490993.25,31.066139176303466,7656.249999999989
119,5,10,18,20,2423.65625,484731.25,30.77836275420665,7453.749999999996
120,5,10,20,6,2421.5825,484316.5,28.006959054863273,8652.750000000007
121,5,10,20,8,2450.0825,490016.5,26.753319464494485,24370.0
122,5,10,20,10,2498.3799999999997,499676.0,27.059683522531806,7866.25
123,5,10,20,12,2514.41625,502883.25,29.89908912305769,8370.25
124,5,10,20,14,2518.3650000000002,503673.0,29.89908912305769,8370.25
125,5,10,20,16,2477.23875,495447.75,33.9632785554879,8370.249999999993
126,5,10,20,18,2454.96625,490993.25,31.066139176303466,7656.249999999989
127,5,10,20,20,2423.65625,484731.25,30.77836275420665,7453.749999999996
128,5,12,6,6,2390.46,478092.0,32.85841005238239,31301.250000000116
129,5,12,6,8,2486.3100000000004,497262.0,30.91904072106872,30255.749999999884
130,5,12,6,10,2532.98,506596.0,29.992771790776157,29668.250000000102
131,5,12,6,12,2531.1200000000003,506224.0,30.615508308022164,8567.750000000007
132,5,12,6,14,2526.90625,505381.25,30.615508308022164,8567.750000000007
133,5,12,6,16,2482.0637500000003,496412.75,34.764658145668484,8567.749999999996
134,5,12,6,18,2466.29125,493258.25,32.10024479638617,29668.249999999905
135,5,12,6,20,2432.66875,486533.75,32.732774147637116,29668.250000000044
136,5,12,8,6,2390.46,478092.0,32.85841005238239,31301.250000000116
137,5,12,8,8,2486.3100000000004,497262.0,30.91904072106872,30255.749999999884
138,5,12,8,10,2532.98,506596.0,29.992771790776157,29668.250000000102
139,5,12,8,12,2531.1200000000003,506224.0,30.615508308022164,8567.750000000007
140,5,12,8,14,2526.90625,505381.25,30.615508308022164,8567.750000000007
141,5,12,8,16,2482.0637500000003,496412.75,34.764658145668484,8567.749999999996
142,5,12,8,18,2466.29125,493258.25,32.10024479638617,29668.249999999905
143,5,12,8,20,2432.66875,486533.75,32.732774147637116,29668.250000000044
144,5,12,10,6,2390.46,478092.0,32.85841005238239,31301.250000000116
145,5,12,10,8,2486.3100000000004,497262.0,30.91904072106872,30255.749999999884
146,5,12,10,10,2532.98,506596.0,29.992771790776157,29668.250000000102
147,5,12,10,12,2531.1200000000003,506224.0,30.615508308022164,8567.750000000007
148,5,12,10,14,2526.90625,505381.25,30.615508308022164,8567.750000000007
149,5,12,10,16,2482.0637500000003,496412.75,34.764658145668484,8567.749999999996
150,5,12,10,18,2466.29125,493258.25,32.10024479638617,29668.249999999905
