,period_me1,period_me2,period_sig,period_band,return,pnl,drawdown (%),drawdown (abs)
0,6,6,6,6,315.23375,63046.75,21.88363484698404,6296.250000000011
1,6,6,6,8,179.54499999999993,35909.0,41.14143469315842,18097.500000000022
2,6,6,6,10,354.74875,70949.75,33.95244125510059,18097.499999999956
3,6,6,6,12,318.28125,63656.25,34.88456144916221,18097.500000000007
4,6,6,6,14,1918.22625,383645.25,33.12846375272866,18097.499999999978
5,6,6,6,16,2002.3325,400466.5,29.203057869576632,18097.499999999993
6,6,6,6,18,1968.2825,393656.5,29.255577109602328,18097.5
7,6,6,8,6,315.23375,63046.75,21.88363484698404,6296.250000000011
8,6,6,8,8,179.54499999999993,35909.0,41.14143469315842,18097.500000000022
9,6,6,8,10,354.74875,70949.75,33.95244125510059,18097.499999999956
10,6,6,8,12,318.28125,63656.25,34.88456144916221,18097.500000000007
11,6,6,8,14,1918.22625,383645.25,33.12846375272866,18097.499999999978
12,6,6,8,16,2002.3325,400466.5,29.203057869576632,18097.499999999993
13,6,6,8,18,1968.2825,393656.5,29.255577109602328,18097.5
14,6,6,10,6,315.23375,63046.75,21.88363484698404,6296.250000000011
15,6,6,10,8,179.54499999999993,35909.0,41.14143469315842,18097.500000000022
16,6,6,10,10,354.74875,70949.75,33.95244125510059,18097.499999999956
17,6,6,10,12,318.28125,63656.25,34.88456144916221,18097.500000000007
18,6,6,10,14,1918.22625,383645.25,33.12846375272866,18097.499999999978
19,6,6,10,16,2002.3325,400466.5,29.203057869576632,18097.499999999993
20,6,6,10,18,1968.2825,393656.5,29.255577109602328,18097.5
21,6,6,12,6,315.23375,63046.75,21.88363484698404,6296.250000000011
22,6,6,12,8,179.54499999999993,35909.0,41.14143469315842,18097.500000000022
23,6,6,12,10,354.74875,70949.75,33.95244125510059,18097.499999999956
24,6,6,12,12,318.28125,63656.25,34.88456144916221,18097.500000000007
25,6,6,12,14,1918.22625,383645.25,33.12846375272866,18097.499999999978
26,6,6,12,16,2002.3325,400466.5,29.203057869576632,18097.499999999993
27,6,6,12,18,1968.2825,393656.5,29.255577109602328,18097.5
28,6,6,14,6,315.23375,63046.75,21.88363484698404,6296.250000000011
29,6,6,14,8,179.54499999999993,35909.0,41.14143469315842,18097.500000000022
30,6,6,14,10,354.74875,70949.75,33.95244125510059,18097.499999999956
31,6,6,14,12,318.28125,63656.25,34.88456144916221,18097.500000000007
32,6,6,14,14,1918.22625,383645.25,33.12846375272866,18097.499999999978
33,6,6,14,16,2002.3325,400466.5,29.203057869576632,18097.499999999993
34,6,6,14,18,1968.2825,393656.5,29.255577109602328,18097.5
35,6,6,16,6,315.23375,63046.75,21.88363484698404,6296.250000000011
36,6,6,16,8,179.54499999999993,35909.0,41.14143469315842,18097.500000000022
37,6,6,16,10,354.74875,70949.75,33.95244125510059,18097.499999999956
38,6,6,16,12,318.28125,63656.25,34.88456144916221,18097.500000000007
39,6,6,16,14,1918.22625,383645.25,33.12846375272866,18097.499999999978
40,6,6,16,16,2002.3325,400466.5,29.203057869576632,18097.499999999993
41,6,6,16,18,1968.2825,393656.5,29.255577109602328,18097.5
42,6,6,18,6,315.23375,63046.75,21.88363484698404,6296.250000000011
43,6,6,18,8,179.54499999999993,35909.0,41.14143469315842,18097.500000000022
44,6,6,18,10,354.74875,70949.75,33.95244125510059,18097.499999999956
45,6,6,18,12,318.28125,63656.25,34.88456144916221,18097.500000000007
46,6,6,18,14,1918.22625,383645.25,33.12846375272866,18097.499999999978
47,6,6,18,16,2002.3325,400466.5,29.203057869576632,18097.499999999993
48,6,6,18,18,1968.2825,393656.5,29.255577109602328,18097.5
49,6,8,6,6,109.49250000000004,21898.5,38.72058543014199,11164.499999999982
50,6,8,6,8,13.40375000000001,2680.75,67.7917047482265,15576.50000000001
51,6,8,6,10,84.20749999999992,16841.5,69.15615906886518,19072.750000000022
52,6,8,6,12,1.924999999999941,385.0,55.48668949949408,14256.749999999976
53,6,8,6,14,48.83499999999999,9767.0,52.05911330049259,17172.999999999996
54,6,8,6,16,71.95125000000007,14390.25,53.22119235610481,18604.000000000022
55,6,8,6,18,111.09125000000006,22218.25,46.934445516676135,17752.250000000004
56,6,8,8,6,130.27625,26055.25,36.44835016401878,11333.249999999985
57,6,8,8,8,31.73124999999997,6346.25,65.07351586394961,17659.000000000007
58,6,8,8,10,86.69999999999995,17340.0,73.7844749020059,20847.250000000015
59,6,8,8,12,4.792499999999951,958.5,60.58346415489277,16208.500000000022
60,6,8,8,14,37.94874999999995,7589.75,55.55406057823963,17547.999999999985
61,6,8,8,16,77.13250000000002,15426.5,52.78505920554019,18978.99999999996
62,6,8,8,18,121.83000000000004,24366.0,48.23549650212167,14720.750000000011
63,6,8,10,6,157.65125000000003,31530.25,33.511487625299324,11333.249999999967
64,6,8,10,8,66.73874999999995,13347.75,55.420779261537525,17659.000000000004
65,6,8,10,10,123.57249999999993,24714.5,60.59234284966904,20847.249999999985
66,6,8,10,12,46.54999999999993,9310.0,48.3402921085889,15108.999999999995
67,6,8,10,14,76.08124999999994,15216.25,43.82238203466871,16148.0
68,6,8,10,16,103.01500000000003,20603.0,47.38152445876561,19079.00000000002
69,6,8,10,18,138.08750000000003,27617.5,44.6353850818678,14720.750000000025
70,6,8,12,6,181.08249999999998,36216.5,30.08434864104967,10271.999999999993
71,6,8,12,8,60.48249999999994,12096.5,56.214684769287125,17659.000000000015
72,6,8,12,10,116.19749999999993,23239.5,60.724714723680684,20847.24999999998
73,6,8,12,12,60.92499999999994,12185.0,48.45656740591077,15109.000000000011
74,6,8,12,14,86.20624999999995,17241.25,37.13869799248457,13713.000000000036
75,6,8,12,16,115.69624999999999,23139.25,39.34360915361441,15800.000000000018
76,6,8,12,18,134.71250000000003,26942.5,44.70315821439418,14720.750000000007
77,6,8,14,6,182.8325,36566.5,29.974612623654036,10272.000000000004
78,6,8,14,8,54.73249999999994,10946.5,56.43926682327373,17659.000000000007
79,6,8,14,10,112.57249999999992,22514.5,53.8696478152857,18431.5
80,6,8,14,12,62.049999999999926,12410.0,45.94312280237162,15614.000000000015
81,6,8,14,14,87.33124999999993,17466.25,36.04512572102364,14138.250000000015
82,6,8,14,16,116.19625000000002,23239.25,37.3222468937497,15800.000000000004
83,6,8,14,18,136.71250000000003,27342.5,44.872791686667966,16592.5
84,6,8,16,6,175.86000000000004,35172.0,33.39619722563959,11333.249999999982
85,6,8,16,8,43.941249999999954,8788.25,57.371203937589854,17658.999999999993
86,6,8,16,10,101.78124999999996,20356.25,54.6819257270428,18431.500000000007
87,6,8,16,12,55.383749999999935,11076.75,46.640629083930115,15613.999999999982
88,6,8,16,14,87.78999999999995,17558.0,34.97567773319047,13553.249999999989
89,6,8,16,16,111.34875000000004,22269.75,37.7089118094242,16058.999999999956
90,6,8,16,18,137.17125000000004,27434.25,44.309586279183094,16592.500000000004
91,6,8,18,6,174.7975,34959.5,34.397122760692895,11333.249999999985
92,6,8,18,8,56.07874999999994,11215.75,56.95487054611722,17659.000000000007
93,6,8,18,10,116.74249999999995,23348.5,54.31933218887915,18431.5
94,6,8,18,12,93.83249999999997,18766.5,45.16338971284775,15614.000000000007
95,6,8,18,14,131.16499999999996,26233.0,33.26222534539661,13253.5
96,6,8,18,16,150.34875000000002,30069.75,37.52387739723217,16058.999999999953
97,6,8,18,18,157.91000000000003,31582.0,44.06248547737124,16592.50000000001
98,6,10,6,6,121.74625000000003,24349.25,35.67588294974314,11164.500000000004
99,6,10,6,8,34.6075,6921.5,63.25226867145082,16658.749999999985
100,6,10,6,10,91.07624999999996,18215.25,71.50976877415168,19847.000000000007
101,6,10,6,12,-3.0812500000000274,-616.25,59.65827824809617,15432.999999999978
102,6,10,6,14,44.82499999999998,8965.0,52.69812044495586,17172.99999999999
103,6,10,6,16,84.50875000000005,16901.75,51.57677326347013,18603.999999999993
104,6,10,6,18,129.20625000000007,25841.25,46.30063947896802,13720.500000000016
105,6,10,8,6,157.65125000000003,31530.25,33.511487625299324,11333.249999999967
