,period_me1,period_me2,period_sig,period_band,return,pnl,drawdown (%),drawdown (abs)
0,6,6,6,3,181.26375000000007,36252.75,36.471538836169316,24712.749999999993
1,6,6,6,6,338.005,67601.0,27.0591716721444,10744.250000000025
2,6,6,6,9,1841.2975,368259.5,61.39346407301968,19354.750000000025
3,6,6,6,12,181.56625,36313.25,43.195791691162036,17634.249999999993
4,6,6,6,15,1808.12375,361624.75,41.12327613432994,9765.750000000004
5,6,6,6,18,1777.8387500000001,355567.75,38.45140821885007,16058.750000000007
6,6,6,9,3,181.26375000000007,36252.75,36.471538836169316,24712.749999999993
7,6,6,9,6,338.005,67601.0,27.0591716721444,10744.250000000025
8,6,6,9,9,1841.2975,368259.5,61.39346407301968,19354.750000000025
9,6,6,9,12,181.56625,36313.25,43.195791691162036,17634.249999999993
10,6,6,9,15,1808.12375,361624.75,41.12327613432994,9765.750000000004
11,6,6,9,18,1777.8387500000001,355567.75,38.45140821885007,16058.750000000007
12,6,6,12,3,181.26375000000007,36252.75,36.471538836169316,24712.749999999993
13,6,6,12,6,338.005,67601.0,27.0591716721444,10744.250000000025
14,6,6,12,9,1841.2975,368259.5,61.39346407301968,19354.750000000025
15,6,6,12,12,181.56625,36313.25,43.195791691162036,17634.249999999993
16,6,6,12,15,1808.12375,361624.75,41.12327613432994,9765.750000000004
17,6,6,12,18,1777.8387500000001,355567.75,38.45140821885007,16058.750000000007
18,6,6,15,3,181.26375000000007,36252.75,36.471538836169316,24712.749999999993
19,6,6,15,6,338.005,67601.0,27.0591716721444,10744.250000000025
20,6,6,15,9,1841.2975,368259.5,61.39346407301968,19354.750000000025
21,6,6,15,12,181.56625,36313.25,43.195791691162036,17634.249999999993
22,6,6,15,15,1808.12375,361624.75,41.12327613432994,9765.750000000004
23,6,6,15,18,1777.8387500000001,355567.75,38.45140821885007,16058.750000000007
24,6,6,18,3,181.26375000000007,36252.75,36.471538836169316,24712.749999999993
25,6,6,18,6,338.005,67601.0,27.0591716721444,10744.250000000025
26,6,6,18,9,1841.2975,368259.5,61.39346407301968,19354.750000000025
27,6,6,18,12,181.56625,36313.25,43.195791691162036,17634.249999999993
28,6,6,18,15,1808.12375,361624.75,41.12327613432994,9765.750000000004
29,6,6,18,18,1777.8387500000001,355567.75,38.45140821885007,16058.750000000007
30,6,8,6,3,23.143750000000132,4628.75,76.76587848850318,22961.24999999995
31,6,8,6,6,148.19749999999988,29639.5,87.79248811953185,31082.710937499927
32,6,8,6,9,54.169999999999895,10834.0,66.12326837779315,31455.49999999999
33,6,8,6,12,13.906249999999574,2781.25,77.02434314874826,27923.249999999956
34,6,8,6,15,35.11374999999985,7022.75,57.51133986204251,13696.512499999977
35,6,8,6,18,10.916249999999692,2183.25,66.48001122177014,29620.99999999994
36,6,8,9,3,28.73125000000013,5746.25,71.22142077225938,21525.249999999953
37,6,8,9,6,182.69749999999985,36539.5,84.77810791098761,32982.71093749998
38,6,8,9,9,97.39749999999981,19479.5,61.63306769764871,31245.499999999975
39,6,8,9,12,15.868749999999613,3173.75,66.21740580193391,24823.249999999993
40,6,8,9,15,26.69499999999987,5339.0,56.911176545600064,24546.07500000002
41,6,8,9,18,25.974999999999724,5195.0,62.63806825846478,29020.999999999953
42,6,8,12,3,0.606250000000191,121.25,83.0863423328271,25173.499999999924
43,6,8,12,6,210.57249999999988,42114.5,80.03347616698441,33257.71093749996
44,6,8,12,9,114.76624999999983,22953.25,57.973690069764,31245.500000000076
45,6,8,12,12,37.9912499999996,7598.25,65.62173521465019,27323.25
46,6,8,12,15,48.40374999999989,9680.75,49.39095878395016,23086.075000000084
47,6,8,12,18,30.991249999999766,6198.25,64.62826665478951,29020.99999999995
48,6,8,15,3,-10.143749999999782,-2028.75,90.89213809492361,27538.499999999924
49,6,8,15,6,190.8099999999998,38162.0,72.67537488071277,29891.2
50,6,8,15,9,110.64124999999983,22128.25,57.56187408600356,31095.49999999998
51,6,8,15,12,10.366249999999614,2073.25,68.21022905553808,27173.25
52,6,8,15,15,31.02874999999986,6205.75,57.40571720043849,26447.67500000002
53,6,8,15,18,16.74124999999977,3348.25,65.67636119610087,28870.99999999996
54,6,8,18,3,36.14375000000021,7228.75,65.89577591521314,21658.86249999995
55,6,8,18,6,234.82124999999976,46964.25,70.04401435171404,28843.949999999953
56,6,8,18,9,178.14124999999984,35628.25,57.28615906118157,31095.49999999996
57,6,8,18,12,77.50999999999964,15502.0,65.36387417396115,27423.249999999935
58,6,8,18,15,87.49124999999982,17498.25,45.6659001628821,21447.675000000043
59,6,8,18,18,66.90999999999971,13382.0,65.60994455049533,28871.0
60,6,10,6,3,33.89375000000013,6778.75,73.35589292311808,21840.249999999938
61,6,10,6,6,159.94749999999988,31989.5,86.99392225666274,31082.710937499924
62,6,10,6,9,79.41999999999982,15884.0,66.73135370461635,32495.5
63,6,10,6,12,30.031249999999567,6006.25,68.54617154124213,26073.249999999967
64,6,10,6,15,38.60749999999986,7721.5,57.826263130987996,13771.512499999972
65,6,10,6,18,36.88749999999975,7377.5,68.05339328368689,30270.99999999994
66,6,10,9,3,24.981250000000184,4996.25,71.42834081296603,22123.49999999995
67,6,10,9,6,207.3224999999999,41464.5,79.91262733099693,33007.710937499935
68,6,10,9,9,130.39124999999981,26078.25,58.08145587032485,31245.499999999956
69,6,10,9,12,64.2412499999996,12848.25,65.1911720847002,27323.249999999967
70,6,10,9,15,75.40374999999989,15080.75,44.96723138653582,12607.687499999989
71,6,10,9,18,46.49124999999976,9298.25,66.74639772766466,29020.99999999993
72,6,10,12,3,13.231250000000214,2646.25,78.30334783181743,23763.499999999953
73,6,10,12,6,238.9462499999999,47789.25,69.97741222390201,29043.949999999968
74,6,10,12,9,122.01624999999984,24403.25,57.060151203758025,31095.499999999953
75,6,10,12,12,37.62749999999963,7525.5,66.3008802054422,27173.249999999985
76,6,10,12,15,47.65374999999985,9530.75,57.27548484420958,26387.67500000002
77,6,10,12,18,22.67624999999979,4535.25,65.67636119610087,28870.99999999996
78,6,10,15,3,42.59375000000022,8518.75,63.347414170305015,19418.112499999937
79,6,10,15,6,234.07124999999976,46814.25,69.59525585287317,28693.94999999997
80,6,10,15,9,200.5024999999998,40100.5,55.74568401427009,31095.499999999938
81,6,10,15,12,104.34624999999961,20869.25,60.291086572972205,27423.24999999995
82,6,10,15,15,101.22749999999981,20245.5,46.36654349805846,22147.67500000013
83,6,10,15,18,65.78499999999971,13157.0,64.43844299616097,28870.999999999978
84,6,10,18,3,63.593750000000206,12718.75,56.15238067537287,19305.749999999938
85,6,10,18,6,228.94874999999976,45789.75,69.31311692276371,28948.449999999943
86,6,10,18,9,209.66499999999982,41933.0,54.93807529902297,31095.49999999995
87,6,10,18,12,127.50874999999967,25501.75,56.177650226398,27698.249999999996
88,6,10,18,15,130.88999999999987,26178.0,39.91022064295018,20582.050000000047
89,6,10,18,18,74.07249999999975,14814.5,60.35565503948259,29120.999999999985
90,6,12,6,3,35.76875000000013,7153.75,70.72511001555087,21375.24999999994
91,6,12,6,6,173.07249999999985,34614.5,86.38906901224331,31557.710937499927
92,6,12,6,9,75.91999999999982,15184.0,64.4290250742329,31245.499999999938
93,6,12,6,12,21.5312499999996,4306.25,69.12147580925854,24823.250000000007
94,6,12,6,15,28.35749999999987,5671.5,62.79983477500235,16153.68749999999
95,6,12,6,18,36.512499999999754,7302.5,66.1353083606323,29020.999999999935
96,6,12,9,3,-8.768749999999782,-1753.75,93.78011749950478,28413.49999999992
97,6,12,9,6,208.18499999999983,41637.0,72.66010410269553,30466.19999999996
98,6,12,9,9,115.76624999999983,23153.25,57.82949917241634,31095.49999999999
99,6,12,9,12,21.241249999999614,4248.25,67.15662650602403,27173.250000000022
100,6,12,9,15,31.903749999999885,6380.75,56.40015217846794,25572.675000000057
101,6,12,9,18,11.991249999999763,2398.25,66.78541273898603,28870.99999999997
102,6,12,12,3,43.59375000000022,8718.75,64.50479576824674,19418.112499999996
103,6,12,12,6,247.94624999999976,49589.25,69.59525585287317,28693.949999999983
104,6,12,12,9,200.5024999999998,40100.5,55.74568401427009,31095.499999999938
105,6,12,12,12,95.24624999999962,19049.25,63.95384767868278,27423.249999999985
106,6,12,12,15,98.4774999999998,19695.5,46.90664280495171,22147.675000000054
107,6,12,12,18,73.03499999999971,14607.0,65.23930040222345,28870.999999999978
108,6,12,15,3,62.09375000000021,12418.75,57.95649771888123,19368.11249999996
109,6,12,15,6,229.4487499999998,45889.75,69.43283510616004,28998.44999999996
110,6,12,15,9,213.5399999999998,42708.0,54.196005298382566,31095.49999999997
111,6,12,15,12,126.88374999999962,25376.75,55.78167244825513,27698.25000000001
112,6,12,15,15,132.88999999999987,26578.0,39.60304689886415,20582.05000000003
113,6,12,15,18,77.19749999999975,15439.5,59.58382780210329,29121.000000000007
114,6,12,18,3,92.34375000000013,18468.75,51.647134751802525,18585.72499999996
115,6,12,18,6,233.0737499999998,46614.75,57.5781945773935,23759.49804687501
116,6,12,18,9,209.70124999999973,41940.25,54.472032839232696,30620.49999999994
117,6,12,18,12,128.50874999999957,25701.75,57.062445852074305,27498.24999999998
118,6,12,18,15,126.32499999999978,25265.0,41.42892446806782,12782.687499999996
119,6,12,18,18,60.88249999999975,12176.5,61.81591250449529,29220.99999999996
120,6,14,6,3,34.981250000000124,6996.25,64.47858910503382,20583.49999999996
121,6,14,6,6,200.69749999999985,40139.5,78.02573108456444,31857.71093749995
122,6,14,6,9,116.27249999999982,23254.5,58.00059401162036,31245.499999999996
123,6,14,6,12,43.86874999999961,8773.75,59.68920949804624,24823.24999999999
124,6,14,6,15,41.27874999999985,8255.75,52.33356215074084,24396.075000000106
125,6,14,6,18,12.366249999999763,2473.25,66.74639772766466,29020.999999999935
126,6,14,9,3,24.106250000000216,4821.25,67.69309344932101,20543.49999999994
127,6,14,9,6,239.07124999999985,47814.25,69.97741222390201,29043.949999999968
128,6,14,9,9,137.51624999999984,27503.25,57.060151203758025,31095.499999999953
129,6,14,9,12,34.62749999999963,6925.5,66.91086318691698,27423.249999999978
130,6,14,9,15,47.916249999999856,9583.25,55.61292188164955,25482.67500000006
131,6,14,9,18,21.688749999999747,4337.75,65.67636119610087,28870.99999999996
132,6,14,12,3,60.718750000000185,12143.75,56.15238067537287,19305.749999999938
133,6,14,12,6,231.82374999999976,46364.75,69.97156693144332,29223.449999999957
134,6,14,12,9,205.28999999999985,41058.0,55.20629904484603,31095.499999999953
135,6,14,12,12,119.75874999999962,23951.75,56.89891587364352,27698.249999999985
136,6,14,12,15,127.88999999999986,25578.0,41.073668034525376,21182.05000000005
137,6,14,12,18,86.07249999999974,17214.5,60.35565503948259,29120.999999999985
138,6,14,15,3,86.71875000000013,17343.75,51.647134751802525,18585.72499999996
139,6,14,15,6,231.5737499999998,46314.75,57.5781945773935,23759.49804687501
140,6,14,15,9,206.2662499999998,41253.25,56.189701062449075,31930.500000000033
141,6,14,15,12,128.50874999999957,25701.75,57.062445852074305,27498.24999999998
142,6,14,15,15,129.3899999999998,25878.0,40.621871772463614,12782.687499999996
143,6,14,15,18,63.947499999999756,12789.5,61.02455935176672,29220.99999999997
144,6,14,18,3,101.71875000000013,20343.75,51.18161488397375,18635.72499999996
145,6,14,18,6,276.74874999999986,55349.75,38.92168491994408,16433.611111111088
146,6,14,18,9,225.93749999999972,45187.5,55.963929857770026,31930.49999999999
147,6,14,18,12,154.94499999999962,30989.0,53.644627772172385,27115.750000000007
148,6,14,18,15,125.62749999999978,25125.5,40.32906220247535,12707.687499999996
149,6,14,18,18,87.18499999999977,17437.0,59.724280297997936,29220.999999999975
150,6,16,6,3,10.106250000000127,2021.25,78.00959307793576,24883.49999999995
151,6,16,6,6,185.05999999999977,37012.0,69.92779629415237,28691.19999999996
152,6,16,6,9,122.76624999999981,24553.25,57.65277880286364,31245.499999999975
153,6,16,6,12,56.368749999999615,11273.75,64.88156723063217,27323.249999999985
154,6,16,6,15,64.15374999999989,12830.75,44.807418924922224,12607.687500000002
155,6,16,6,18,39.24124999999976,7848.25,64.99009058437551,29021.000000000004
156,6,16,9,3,36.09375000000021,7218.75,63.09014165389717,19418.112499999985
157,6,16,9,6,235.57124999999974,47114.25,69.67975764787298,28693.949999999968
158,6,16,9,9,200.5024999999998,40100.5,56.454131188613154,31095.49999999997
159,6,16,9,12,99.8712499999996,19974.25,64.14082645787887,27423.249999999993
160,6,16,9,15,101.85249999999981,20370.5,45.448173929627266,21447.67500000009
161,6,16,9,18,72.90999999999971,14582.0,65.2761762644418,28870.999999999956
162,6,16,12,3,63.21875000000021,12643.75,58.61680363462963,19193.11249999994
163,6,16,12,6,228.3237499999998,45664.75,69.12304085205892,28523.45000000001
164,6,16,12,9,203.53999999999982,40708.0,54.48390598032059,30620.500000000065
165,6,16,12,12,118.75874999999965,23751.75,57.84656287601339,27523.249999999975
166,6,16,12,15,119.76499999999986,23953.0,42.480932708349826,13367.687499999989
167,6,16,12,18,63.322499999999756,12664.5,61.19791116091241,28945.999999999996
168,6,16,15,3,101.71875000000013,20343.75,51.18161488397375,18635.72499999996
169,6,16,15,6,271.4987499999998,54299.75,42.115979311634135,17708.61111111107
170,6,16,15,9,218.31749999999977,43663.5,56.981610200494295,31930.50000000001
171,6,16,15,12,157.52124999999958,31504.25,53.73472249057456,27115.74999999996
172,6,16,15,15,129.07874999999976,25815.75,40.21388280155998,12707.687499999949
173,6,16,15,18,75.63624999999975,15127.25,59.614315514594416,29221.000000000007
174,6,16,18,3,88.96875000000014,17793.75,51.64484934846354,18610.724999999973
175,6,16,18,6,285.12374999999986,57024.75,36.021044799656,16433.61111111104
176,6,16,18,9,224.18749999999977,44837.5,51.972598839302876,31030.499999999996
177,6,16,18,12,172.26624999999956,34453.25,47.422498586772114,26215.749999999975
178,6,16,18,15,151.8237499999998,30364.75,36.164695566628765,12682.687499999964
179,6,16,18,18,95.94124999999974,19188.25,53.933718333864874,28320.99999999994
180,6,18,6,3,-11.768749999999867,-2353.75,91.28820384183759,27658.49999999992
181,6,18,6,6,191.93499999999977,38387.0,68.67250282732658,28691.199999999997
182,6,18,6,9,103.39124999999983,20678.25,57.65277880286364,31245.499999999975
183,6,18,6,12,41.8662499999996,8373.25,64.57488921713434,27323.24999999999
