,period_high,period_low,period_rsi,return,pnl,drawdown (%),drawdown (abs)
0,6,6,6,204.27499999999986,40855.0,50.59631541846866,26557.500000000022
1,6,6,8,258.0775,51615.5,36.522630191242676,23790.750000000044
2,6,6,10,143.1275,28625.5,48.822667192401994,28478.749999999956
3,6,6,12,199.43249999999992,39886.5,36.92140506210718,20724.99999999997
4,6,6,14,169.95999999999995,33992.0,50.34605626853097,28824.25000000006
5,6,6,16,180.52624999999992,36105.25,48.423082220079856,26370.000000000033
6,6,6,18,208.82,41764.0,50.22634119683044,27571.75000000005
7,6,6,20,185.435,37087.0,57.322657240110175,29513.000000000047
8,6,6,22,198.16375,39632.75,47.384056180238,23008.74999999992
9,6,6,24,200.39499999999998,40079.0,50.04839797272306,23008.749999999975
10,6,6,26,205.945,41189.0,47.29851633307158,22283.749999999985
11,6,6,28,196.58874999999995,39317.75,50.08388604042226,23956.50000000014
12,6,8,6,68.82999999999991,13766.0,55.19676782630151,26845.499999999975
13,6,8,8,39.03499999999989,7807.0,69.1899744636359,34410.25000000001
14,6,8,10,-48.26750000000008,-9653.5,99.1027291748098,43102.75000000003
15,6,8,12,10.593749999999845,2118.75,85.42005519106718,35055.75000000004
16,6,8,14,1.5074999999999,301.5,92.91719001022352,39762.75000000001
17,6,8,16,87.68999999999984,17538.0,56.644235822710534,27483.50000000004
18,6,8,18,72.60874999999987,14521.75,63.81255243994664,30801.99999999997
19,6,8,20,76.86874999999986,15373.75,61.31197288781334,27679.7499999999
20,6,8,22,86.98374999999989,17396.75,57.653755855962096,26889.999999999913
21,6,8,24,95.83999999999988,19168.0,60.055488983169894,27815.000000000055
22,6,8,26,100.51499999999987,20103.0,58.6128056811118,27815.00000000006
23,6,8,28,91.15874999999983,18231.75,61.20933466873558,29487.750000000062
24,6,10,6,135.5675,27113.5,50.63673663604382,30329.000000000073
25,6,10,8,89.98749999999998,17997.5,59.87730180079931,30939.499999999935
26,6,10,10,6.6862499999999265,1337.25,83.85958301357023,45621.4999999999
27,6,10,12,38.10624999999986,7621.25,75.53680792975383,38388.750000000015
28,6,10,14,32.65249999999988,6530.5,80.48128342245992,42290.5
29,6,10,16,96.51749999999986,19303.5,59.30963794484813,33127.250000000044
30,6,10,18,107.28624999999991,21457.25,65.06455888850708,36445.750000000044
31,6,10,20,131.7662499999999,26353.25,56.91477787851308,31388.499999999978
32,6,10,22,147.7562499999999,29551.25,52.9209309967616,30598.75000000007
33,6,10,24,146.37624999999989,29275.25,56.01858208613674,30598.749999999975
34,6,10,26,150.85749999999985,30171.5,53.844495671148174,30598.750000000142
35,6,10,28,141.0012499999998,28200.25,56.077778887967,32271.500000000004
36,6,12,6,-62.560000000000095,-12512.0,96.4953471725126,42126.24999999999
37,6,12,8,-65.55250000000012,-13110.5,97.19876090529786,38437.25000000012
38,6,12,10,-44.546250000000164,-8909.25,97.13752493725475,37735.5
39,6,12,12,-42.34875000000023,-8469.75,95.87210021551033,36812.25000000004
40,6,12,14,-58.351250000000135,-11670.25,98.8229228781555,39774.24999999998
41,6,12,16,1.969999999999868,394.0,94.57599315312756,39781.50000000001
42,6,12,18,-38.018750000000146,-7603.75,95.8605031655325,40427.249999999985
43,6,12,20,-28.561250000000165,-5712.25,98.14661101361293,41384.50000000007
44,6,12,22,32.57624999999996,6515.25,95.5167474848574,41513.25000000008
45,6,12,24,48.70124999999993,9740.25,95.5167474848574,41513.25000000008
46,6,12,26,49.11249999999994,9822.5,91.53061282883259,39986.74999999999
47,6,12,28,39.38124999999989,7876.25,93.81396867575698,41659.499999999985
48,6,14,6,-73.37375000000014,-14674.75,97.05748327632205,39935.99999999996
49,6,14,8,-75.19875000000013,-15039.75,94.80606424078448,33987.499999999956
50,6,14,10,-70.53000000000014,-14106.0,97.33264401056618,30122.749999999964
51,6,14,12,-68.49875000000013,-13699.75,97.63327185605503,27659.749999999978
52,6,14,14,-67.32625000000013,-13465.25,93.90087685225753,28405.249999999978
53,6,14,16,-50.91000000000021,-10182.0,99.5315576098545,31977.249999999913
54,6,14,18,-63.41000000000009,-12682.0,99.48209234691853,31213.749999999967
55,6,14,20,-34.03125000000013,-6806.25,97.43299568845293,30564.00000000003
56,6,14,22,-30.522500000000104,-6104.5,97.65421705189046,31898.74999999997
57,6,14,24,-30.522500000000104,-6104.5,97.65421705189046,31898.74999999997
58,6,14,26,-25.7150000000001,-5143.0,99.25433262389788,32644.74999999999
59,6,14,28,-30.430000000000128,-6086.0,97.72461860025746,32844.99999999999
60,6,16,6,27.59624999999995,5519.25,87.45238704444846,45287.00000000012
61,6,16,8,-79.74625000000015,-15949.25,96.99191765249662,38821.499999999854
62,6,16,10,-71.39375000000013,-14278.75,99.3088673348106,33838.99999999999
63,6,16,12,-40.44125000000023,-8088.25,97.1023343645789,30209.749999999975
64,6,16,14,-65.30000000000015,-13060.0,99.03657420802816,31661.24999999995
65,6,16,16,111.35624999999985,22271.25,84.29026564899503,27581.250000000015
66,6,16,18,102.54749999999993,20509.5,99.42978416690038,31038.250000000022
67,6,16,20,-27.68875000000018,-5537.75,96.06929397781988,28088.50000000004
68,6,16,22,109.87874999999991,21975.75,94.95200684258886,29973.500000000047
69,6,16,24,-36.536250000000145,-7307.25,94.56315139227681,29850.75000000004
70,6,16,26,-32.853750000000126,-6570.75,98.92315791103478,31945.74999999995
71,6,16,28,-30.842500000000143,-6168.5,97.87472524273264,33618.50000000001
72,6,18,6,15.497499999999967,3099.5,80.94546664983186,35260.24999999999
73,6,18,8,65.91874999999996,13183.75,70.21461066117222,34418.50000000003
74,6,18,10,5.876249999999937,1175.25,95.11290657886614,42320.25000000002
75,6,18,12,117.94874999999989,23589.75,69.15348540512457,29270.250000000022
76,6,18,14,110.8324999999999,22166.5,80.35395233146112,34404.75000000001
77,6,18,16,177.20124999999985,35440.25,63.30475797011642,27581.249999999993
78,6,18,18,162.8487499999999,32569.75,73.63381023961101,30738.24999999994
79,6,18,20,167.90749999999989,33581.5,77.74240389814763,31989.249999999945
80,6,18,22,177.56499999999994,35513.0,72.9850318288697,31816.000000000022
81,6,18,24,171.2249999999999,34245.0,82.93723550235815,35962.000000000015
82,6,18,26,170.52499999999998,34105.0,81.22324987860108,35962.000000000044
83,6,18,28,171.14499999999992,34229.0,80.63926891719616,37634.749999999985
84,6,20,6,-31.319999999999965,-6264.0,77.92013840717502,23870.25000000001
85,6,20,8,-75.115,-15023.0,99.03079079016389,31623.750000000025
86,6,20,10,-76.40750000000008,-15281.5,98.55652248590165,34428.75000000004
87,6,20,12,-47.32250000000011,-9464.5,98.96153644722783,33067.75000000011
88,6,20,14,-67.36875000000015,-13473.75,95.26155629618908,32870.000000000065
