,period_high,period_low,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
0,5,4,3,6,5,240.44999999999987,48090.0,60.91531320312351,16108.749999999984
1,5,4,3,6,7,227.66499999999988,45533.0,59.44891895918596,16958.24999999999
2,5,4,3,6,9,209.1749999999999,41835.0,61.74438608787464,16958.24999999999
3,5,4,3,6,11,208.56999999999982,41714.0,56.83986379370191,15148.250000000002
4,5,4,3,6,13,212.62624999999983,42525.25,50.34379895500128,13416.999999999996
5,5,4,3,6,15,221.0387499999999,44207.75,50.32783719411829,13682.000000000015
6,5,4,3,6,17,120.5387499999999,24107.75,50.15947501558087,13681.999999999985
7,5,4,3,8,5,252.16499999999985,50433.0,59.44891895918596,16958.24999999999
8,5,4,3,8,7,185.67499999999987,37135.0,61.723598245645974,16958.250000000007
9,5,4,3,8,9,214.12624999999994,42825.25,48.96715328467152,13416.99999999999
10,5,4,3,8,11,208.41374999999994,41682.75,51.47334066946945,13681.999999999987
11,5,4,3,8,13,121.94874999999992,24389.75,51.826800465709354,14022.000000000004
12,5,4,3,8,15,113.47499999999992,22695.0,58.03671858616286,15221.0
13,5,4,3,8,17,107.62249999999993,21524.5,56.03460771878962,15462.749999999993
14,5,4,3,10,5,213.4649999999999,42693.0,59.44891895918596,16958.24999999999
15,5,4,3,10,7,211.37624999999986,42275.25,51.01094890510949,13976.999999999996
16,5,4,3,10,9,207.41374999999985,41482.75,50.91545102709144,13682.000000000011
17,5,4,3,10,11,115.09999999999994,23020.0,56.873772710807756,14915.999999999996
18,5,4,3,10,13,110.12249999999992,22024.5,56.47461650840029,15462.74999999999
19,5,4,3,10,15,118.42374999999991,23684.75,54.405044781575576,14882.499999999998
20,5,4,3,10,17,120.74999999999996,24150.0,49.01206360811544,13407.249999999978
21,5,4,3,12,5,209.5499999999999,41910.0,63.513450248593216,16958.250000000015
22,5,4,3,12,7,219.03874999999994,43807.75,51.06033606075594,13682.000000000004
23,5,4,3,12,9,124.59999999999994,24920.0,55.830666442086354,14915.999999999996
24,5,4,3,12,11,110.12249999999992,22024.5,56.47461650840029,15462.74999999999
25,5,4,3,12,13,123.62999999999995,24726.0,50.59861085724726,13841.249999999989
26,5,4,3,12,15,106.87499999999994,21375.0,49.01206360811544,13407.249999999978
27,5,4,3,12,17,151.01624999999996,30203.25,29.478501685896212,8808.249999999996
28,5,4,3,14,5,204.31999999999982,40864.0,63.63141750232172,16958.249999999993
29,5,4,3,14,7,115.41374999999991,23082.75,50.51131539114708,13682.000000000005
30,5,4,3,14,9,109.72499999999997,21945.0,60.85829218538502,15961.000000000002
31,5,4,3,14,11,123.62999999999995,24726.0,50.59861085724726,13841.249999999989
32,5,4,3,14,13,132.80249999999995,26560.5,44.49552184244192,12171.749999999987
33,5,4,3,14,15,147.2725,29454.5,28.468120520672585,8808.250000000007
34,5,4,3,14,17,132.27249999999998,26454.5,25.902803378800748,8080.250000000004
35,5,4,3,16,5,218.62624999999986,43725.25,52.44505314109361,13976.999999999996
36,5,4,3,16,7,127.97499999999992,25595.0,49.86929847959459,14022.000000000011
37,5,4,3,16,9,115.42374999999994,23084.75,53.931871715890544,14882.499999999993
38,5,4,3,16,11,115.62499999999996,23125.0,49.01206360811544,13407.249999999978
39,5,4,3,16,13,147.2725,29454.5,28.468120520672585,8808.250000000007
40,5,4,3,16,15,132.27249999999998,26454.5,25.902803378800748,8080.250000000004
