,period_me1,period_me2,period_sig,return,pnl,drawdown (%),drawdown (abs)
0,3,6,3,211.30875000000006,42261.75,57.31832640078293,11712.999999999993
1,3,6,5,260.2587500000001,52051.75,42.99981383033737,25984.250000000036
2,3,6,7,224.77750000000017,44955.5,49.334367426078515,31805.250000000004
3,3,6,9,203.66250000000014,40732.5,45.268872498027484,28830.499999999978
4,3,6,11,281.88500000000016,56377.0,36.1494248908086,26195.50000000005
5,3,6,13,264.76000000000005,52952.0,41.44966884692911,30227.999999999964
6,3,6,15,275.69000000000005,55138.0,40.54076412922084,29403.0
7,3,6,17,293.1487500000001,58629.75,43.85053566762481,31465.499999999964
8,3,6,19,307.58500000000015,61517.0,40.83246820659216,31465.49999999995
9,3,8,3,232.79250000000005,46558.5,51.72266464639348,29356.75000000001
10,3,8,5,222.13875000000013,44427.75,51.77029718590395,32815.25000000001
11,3,8,7,218.16250000000014,43632.5,43.608408426577455,28830.499999999956
12,3,8,9,295.42125000000004,59084.25,36.28298624163602,26543.000000000022
13,3,8,11,290.19000000000005,58038.0,40.285256278515355,29403.00000000003
14,3,8,13,281.19375000000014,56238.75,44.25620909443951,31054.249999999964
15,3,8,15,300.40500000000014,60081.0,46.652740139782736,34560.000000000065
16,3,8,17,372.7275000000001,74545.5,44.459452940325086,34559.999999999985
17,3,8,19,367.86625000000015,73573.25,44.93377072548338,35305.24999999996
18,3,10,3,258.84125000000006,51768.25,49.78194432972663,30135.500000000007
19,3,10,5,213.80625000000012,42761.25,44.638439489833296,29005.500000000073
20,3,10,7,304.1275000000001,60825.5,35.13851581337158,26195.49999999994
21,3,10,9,288.1737500000001,57634.75,40.509067112129046,29402.999999999964
22,3,10,11,291.10000000000014,58220.0,44.10654982929819,33170.000000000065
23,3,10,13,361.2262500000001,72245.25,44.238287368275984,35305.24999999997
24,3,10,15,368.65625,73731.25,43.49450393763853,35305.25000000011
25,3,10,17,423.29999999999995,84660.0,42.83648374075788,35471.50000000012
26,3,10,19,405.4475000000001,81089.5,43.179597985361966,35471.50000000012
27,3,12,3,248.1112500000001,49622.25,53.086349618568406,32706.500000000047
28,3,12,5,232.26250000000013,46452.5,39.81684146526827,26195.50000000003
29,3,12,7,282.06500000000005,56413.0,40.27697871291191,29402.999999999905
30,3,12,9,294.09000000000015,58818.0,43.661096281127726,32835.00000000009
31,3,12,11,367.4437500000001,73488.75,44.87651260931457,35305.24999999986
32,3,12,13,388.45,77690.0,43.42646919293476,35471.499999999956
33,3,12,15,422.53499999999997,84507.0,43.1402119217379,35471.49999999998
34,3,12,17,446.81749999999994,89363.5,42.54605862879624,35471.50000000008
35,3,12,19,465.23125,93046.25,40.15223458834702,34670.249999999985
36,3,14,3,238.34125000000012,47668.25,52.1610682506534,33281.5000000001
37,3,14,5,297.32375000000013,59464.75,35.267191502108645,26195.49999999997
38,3,14,7,284.19500000000005,56839.0,41.00093427969823,29403.00000000003
39,3,14,9,339.61375000000015,67922.75,45.400356660788056,34560.00000000009
40,3,14,11,380.2,76040.0,43.6858618109715,35471.499999999985
41,3,14,13,420.035,84007.0,43.40415118004252,35471.50000000008
42,3,14,15,463.5675,92713.5,41.29538866316633,35471.49999999996
43,3,14,17,476.52875000000006,95305.75,39.83056128345147,35155.25000000003
44,3,14,19,483.9662500000001,96793.25,40.27085695957481,35155.250000000095
45,3,16,3,230.33125000000015,46066.25,52.03429413085172,33031.500000000065
46,3,16,5,258.0612500000001,51612.25,43.474707396554074,31117.999999999993
47,3,16,7,310.06625000000014,62013.25,43.84625823770262,33116.749999999985
48,3,16,9,371.4437500000001,74288.75,44.85669907600045,35305.249999999905
49,3,16,11,404.415,80883.0,42.99640903650058,35471.500000000095
50,3,16,13,451.31750000000005,90263.5,42.50781933442783,35471.50000000007
51,3,16,15,481.15375,96230.75,39.71806082791038,35155.25000000009
52,3,16,17,477.46625000000006,95493.25,40.27085695957481,35155.250000000095
53,3,16,19,558.5062500000001,111701.25,29.34255266501521,26384.750000000065
54,3,18,3,287.7062500000001,57541.25,42.190781094013516,27575.999999999993
55,3,18,5,294.7537500000001,58950.75,42.47046018309062,31118.000000000015
56,3,18,7,345.02125000000007,69004.25,44.033751564784545,34560.0000000001
57,3,18,9,375.3575000000001,75071.5,43.373368752808524,35471.50000000003
58,3,18,11,430.70875000000007,86141.75,42.91837444607453,35471.50000000005
