Date,Open,High,Low,Close,Total Trade Quantity
2000-01-04,1151,1152,1139,1141,753
2000-01-05,1145,1148,1131,1135,306
2000-01-06,1139,1147,1135,1145,404
2000-01-07,1139,1147,1135,1145,404
2000-01-10,1139,1147,1135,1145,404
2000-01-11,1145,1149,1125,1125,754
2000-01-12,1121,1139,1110,1130,1046
2000-01-13,1130,1134,1116,1122,479
2000-01-14,1134,1152,1134,1150,651
2000-01-17,1140,1147,1135,1146,286
2000-01-18,1150,1152,1130,1131,1161
2000-01-19,1139,1145,1129,1140,476
2000-01-20,1135,1142,1130,1140,463
2000-01-21,1142,1148,1136,1142,361
2000-01-24,1140,1159,1140,1157,1075
2000-01-25,1165,1167,1153,1164,854
2000-01-26,1167,1173,1157,1163,712
2000-01-27,1168,1169,1145,1145,923
2000-01-28,1158,1163,1152,1155,608
2000-01-31,1155,1155,1131,1132,518
2000-02-01,1155,1155,1131,1132,518
2000-02-02,1120,1127,1115,1124,561
2000-02-03,1117,1128,1114,1121,204
2000-02-04,1117,1128,1114,1121,204
2000-02-07,1117,1128,1114,1121,204
2000-02-08,1110,1114,1106,1110,444
2000-02-09,1103,1103,1082,1084,873
2000-02-10,1086,1092,1077,1079,579
2000-02-11,1081,1088,1060,1063,687
2000-02-14,1055,1055,1032,1032,944
2000-02-15,1034,1034,1013,1019,919
2000-02-16,1019,1042,1019,1039,739
2000-02-17,1040,1040,1000,1002,921
2000-02-18,1002,1030,1002,1027,1600
2000-02-21,1040,1054,1031,1054,1283
2000-02-22,1050,1063,1034,1057,1314
2000-02-23,1060,1060,1038,1050,782
2000-02-24,1041,1084,1041,1082,1286
2000-02-25,1086,1086,1064,1072,1182
2000-02-28,1060,1060,1035,1035,1575
2000-02-29,1035,1057,1030,1040,906
2000-03-01,1050,1050,1041,1047,399
2000-03-02,1042,1054,1039,1050,388
2000-03-03,1055,1071,1051,1067,635
2000-03-06,1076,1089,1072,1080,1096
2000-03-07,1085,1089,1063,1071,997
2000-03-08,1065,1090,1060,1082,749
2000-03-09,1085,1102,1085,1098,1133
2000-03-10,1102,1104,1094,1097,375
2000-03-13,1090,1098,1073,1088,756
2000-03-14,1100,1104,1087,1093,445
2000-03-15,1110,1122,1107,1110,784
2000-03-16,1110,1122,1107,1110,784
2000-03-17,1115,1145,1113,1145,866
2000-03-20,1160,1174,1144,1150,1442
2000-03-21,1155,1155,1133,1143,859
2000-03-22,1142,1167,1142,1157,1017
2000-03-23,1166,1170,1138,1154,1264
2000-03-24,1140,1153,1140,1153,473
2000-03-27,1165,1177,1163,1177,816
2000-03-28,1185,1194,1177,1190,1411
2000-03-29,1193,1193,1175,1180,760
2000-03-30,1189,1200,1182,1200,891
2000-03-31,1202,1202,1192,1197,883
2000-04-03,1207,1228,1207,1226,638
2000-04-04,1240,1240,1208,1211,747
2000-04-05,1209,1209,1195,1205,824
2000-04-06,1209,1209,1195,1205,824
2000-04-07,1189,1208,1185,1195,794
2000-04-10,1196,1196,1177,1177,627
2000-04-11,1175,1189,1170,1185,617
2000-04-12,1183,1201,1172,1198,1030
2000-04-13,1218,1228,1206,1227,954
2000-04-14,1255,1255,1232,1236,903
2000-04-17,1230,1245,1225,1235,907
2000-04-18,1232,1234,1217,1228,827
2000-04-19,1240,1250,1227,1250,894
2000-04-20,1254,1255,1226,1228,803
2000-04-21,1231,1239,1224,1234,504
2000-04-24,1237,1238,1203,1203,534
2000-04-25,1205,1218,1198,1203,1140
2000-04-26,1195,1196,1181,1183,1240
2000-04-27,1174,1175,1154,1154,1013
2000-04-28,1148,1158,1139,1150,1708
2000-05-01,1148,1158,1139,1150,1708
2000-05-02,1166,1169,1137,1146,1106
2000-05-03,1140,1153,1132,1134,889
2000-05-04,1139,1140,1111,1113,1054
2000-05-05,1115,1119,1098,1113,967
2000-05-08,1110,1118,1101,1116,842
2000-05-09,1111,1131,1108,1128,712
2000-05-10,1125,1125,1088,1091,1694
2000-05-11,1091,1108,1078,1097,1237
2000-05-12,1095,1096,1080,1085,825
2000-05-15,1060,1073,1052,1052,813
2000-05-16,1040,1087,1040,1085,905
2000-05-17,1080,1080,1059,1065,815
2000-05-18,1080,1080,1059,1065,815
2000-05-19,1065,1083,1065,1077,586
2000-05-22,1075,1087,1059,1066,672
2000-05-23,1066,1082,1060,1078,597
2000-05-24,1078,1099,1075,1084,1204
2000-05-25,1080,1080,1064,1067,682
2000-05-26,1050,1059,1047,1054,1429
2000-05-29,1050,1060,1041,1041,477
2000-05-30,1029,1030,1016,1021,791
2000-05-31,1002,1036,995,1036,876
2000-06-01,1039,1051,1018,1049,1087
2000-06-02,1060,1060,1041,1051,357
2000-06-05,1071,1085,1063,1081,833
2000-06-06,1080,1081,1061,1061,565
2000-06-07,1068,1068,1043,1049,796
2000-06-08,1048,1076,1042,1072,695
2000-06-09,1079,1084,1065,1065,762
2000-06-12,1058,1064,1043,1044,583
2000-06-13,1048,1056,1040,1047,365
2000-06-14,1038,1043,1029,1029,530
2000-06-15,1038,1043,1029,1029,530
2000-06-16,1041,1051,1039,1048,1016
2000-06-19,1055,1075,1055,1068,869
2000-06-20,1069,1073,1057,1065,651
2000-06-21,1060,1064,1054,1061,497
2000-06-22,1058,1077,1057,1072,403
2000-06-23,1068,1077,1063,1064,717
2000-06-26,1060,1063,1048,1051,583
2000-06-27,1048,1051,1045,1045,282
2000-06-28,1045,1047,1035,1036,644
2000-06-29,1033,1047,1033,1046,368
2000-06-30,1046,1052,1029,1031,620
2000-07-03,1025,1025,1010,1015,642
2000-07-04,1005,1012,999,1003,762
2000-07-05,1000,1018,997,998,940
2000-07-06,1000,1008,995,1006,633
2000-07-07,1003,1029,1003,1028,751
2000-07-10,1030,1030,1012,1014,446
